model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,0,0.7000689943463689,0.15513326814738543
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,1,0.7757921263622591,0.052060189474574026
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,2,0.8106209582281254,0.012286695563022466
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,3,0.8160420792524521,0.012263027495542117
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,4,0.8190429759050523,0.013648737860277125
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,5,0.8199174171907515,0.016662639739357697
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,6,0.8189998766758472,0.0206925559352425
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,7,0.8187164874153614,0.027543060165325838
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,8,0.8119526094624856,0.03804274471787051
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,9,0.7930720873677704,0.05201790671130871
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,10,0.7583947023030383,0.06841216286022422
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,11,0.7185078364222923,0.08044930003825995
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,12,0.5668428821303667,0.1916864732379509
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,0,0.21190877855464563,0.03956898154757993
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,1,0.25617258233704876,0.05976032692360906
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,2,0.29398585472351735,0.057480979753313045
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,3,0.33452610678603595,0.06309438575948752
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,4,0.3650172597560123,0.06984161951453868
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,5,0.3807758702120941,0.07490981234436041
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,6,0.38836810034572783,0.07770358700006058
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,7,0.3944060471435582,0.07920328072333487
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,8,0.3872492363782793,0.07752534258932878
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,9,0.36337119956628466,0.07086105879380267
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,10,0.3384052946752976,0.06163632001219017
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,11,0.30797746596948367,0.05437331843255432
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,12,0.3337737327460418,0.05988324985264614
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,0,0.6670965841113914,0.16408553070001328
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,1,0.687557817191101,0.15857085575498875
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,2,0.7554914137689778,0.08300169666230672
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,3,0.7607139107706481,0.08387932946607624
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,4,0.7643806313916718,0.09673158202015654
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,5,0.7617903726660643,0.12375331366004648
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,6,0.7475330600031189,0.14145583440888262
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,7,0.7334414466029402,0.1594664396804493
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,8,0.6965233639237856,0.17619348151138162
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,9,0.6333415570325697,0.18059672735180002
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,10,0.5948467147266098,0.17429426892722963
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,11,0.5602017507061222,0.16636066199324195
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,12,0.5557181812238742,0.20100578773727398
