model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,0,0.6716911779382434,0.16354063436759195
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,1,0.7041614236623738,0.06742578458424373
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,2,0.7148782089306106,0.020841909888782997
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,3,0.710524794483808,0.022159038326414235
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,4,0.7066667900113496,0.02796275195303088
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,5,0.7073896195533472,0.032613469647849405
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,6,0.7101021277471325,0.03989702615304978
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,7,0.7042296180871671,0.054076192193698566
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,8,0.6976053502359801,0.07089119675571984
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,9,0.6712227203673472,0.0928854095206688
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,10,0.64955901478316,0.10838812022416557
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,11,0.6232045514728211,0.11359501728687847
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,12,0.5681652736326613,0.2000383248187488
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,0,0.22595362400954486,0.03461646172382121
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,1,0.270902543360872,0.049215775064076775
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,2,0.32681007137484386,0.046433493315424436
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,3,0.3628164428758491,0.05396797413691666
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,4,0.39125960729184595,0.06307733356787805
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,5,0.39985758491559115,0.06891266329214017
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,6,0.40972289620305685,0.0717208247308553
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,7,0.42049943842624815,0.07293262421616281
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,8,0.4144063646384935,0.07112896487696195
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,9,0.39225875522800074,0.06435651665135673
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,10,0.36717728278990447,0.05686075435301265
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,11,0.33198869519038476,0.048357480970973414
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,12,0.35395615520042945,0.05722571053397717
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,0,0.686351733906402,0.14850919143786448
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,1,0.685228607150648,0.1760672563645506
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,2,0.726072857806751,0.1052668187029789
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,3,0.6948199311988575,0.13588558569749806
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,4,0.6860211411347501,0.17225065020171548
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,5,0.6911562148518903,0.20130454383613364
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,6,0.6938451590615448,0.2122462155948546
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,7,0.6712351140632814,0.21880530375366564
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,8,0.6422292048138614,0.21378989070508664
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,9,0.592443625616239,0.19983528673485232
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,10,0.5667853335145508,0.18443780746501334
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,11,0.5400297472563507,0.1668875434472535
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,12,0.5656483519350792,0.20794657061806188
