model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,0,0.7079193286169904,0.12371244231152001
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,1,0.7327332474008186,0.043681988552395634
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,2,0.7472973730164789,0.010594281814622884
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,3,0.7459624858721687,0.011176977208164763
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,4,0.7455760887983897,0.013645535553245302
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,5,0.7483504226452429,0.01656250959439309
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,6,0.7503309713151423,0.019425479395789893
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,7,0.7460862448000122,0.02418854034672262
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,8,0.7375811105163624,0.03426741207731126
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,9,0.718227091004907,0.04947912121429809
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,10,0.6886744563038458,0.06660543125721384
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,11,0.6588448881841273,0.07751140655899676
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,12,0.5387246737051253,0.2048579025985476
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,0,0.25703471099276937,0.04428187275135481
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,1,0.27344221474120023,0.058190137598207944
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,2,0.31225155040773583,0.055378297326245024
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,3,0.32561514923934354,0.06235329615252829
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,4,0.33597976660707785,0.07044993741856855
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,5,0.3428562318684455,0.07556709994473387
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,6,0.3510986079530945,0.0770027843393374
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,7,0.3606953965528445,0.07510534126454112
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,8,0.35268608797128154,0.07385175963987382
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,9,0.3299614157579142,0.06520578578784585
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,10,0.30416768797152427,0.05513908527198478
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,11,0.2775312431204509,0.04690498685562567
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,12,0.3289484905737301,0.061045304218129405
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,0,0.688522094176875,0.13568830501902304
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,1,0.6834638674921254,0.1392294179665365
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,2,0.7225179596253021,0.0779633285998317
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,3,0.7017326636222736,0.0961112665424972
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,4,0.6948145631327193,0.12120205727463287
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,5,0.6959344695143693,0.14160095811183707
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,6,0.6912337020080638,0.15027711987738612
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,7,0.6857042789305829,0.15227999114672108
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,8,0.648269325633998,0.16690217417141126
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,9,0.5949605964485076,0.16500575920595018
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,10,0.5596891416369665,0.1615468149288395
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,11,0.5329971938956913,0.14968046356438816
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,12,0.5393650281870547,0.19558791480106782
