model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,0,0.6501999867251896,0.16168203268354397
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,1,0.6761972583266166,0.05022573338517267
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,2,0.6701293762236389,0.010720977639967705
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,3,0.6671297502651559,0.0099532967967007
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,4,0.6654733637028167,0.011114110430250531
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,5,0.665980361803069,0.012114290725439954
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,6,0.6704511816443276,0.013800092760193484
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,7,0.6734875627967375,0.017749436935300972
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,8,0.66876283262625,0.02554154546160147
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,9,0.652911691906048,0.03890568831249116
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,10,0.63248335376481,0.054623796153051955
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,11,0.6092796365358506,0.06890132601198835
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,12,0.5419870921909024,0.1977884088744952
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,0,0.1218775217897108,0.054333782891284384
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,1,0.16903572250530752,0.06349157170259158
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,2,0.18291458028994384,0.0584069152230052
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,3,0.20505444968773442,0.06109025001473213
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,4,0.23057160009615446,0.06581212626433733
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,5,0.24426621733276652,0.06821598625515692
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,6,0.25917381082874874,0.06886368815360235
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,7,0.28133182141391133,0.06739017115980955
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,8,0.3003132818998847,0.0671107644674215
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,9,0.3101673498034925,0.060362959615973245
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,10,0.318667005596732,0.0543515149379048
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,11,0.3030922774949826,0.04917264451206307
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,12,0.3366250188606441,0.0593410878138323
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,0,0.6700312354106893,0.16970653836937794
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,1,0.6321959133177414,0.18158290401981425
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,2,0.6408176367273396,0.09092616827736898
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,3,0.6239745563701491,0.09587338102233395
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,4,0.6233384289995293,0.12032624347273306
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,5,0.6263697016203162,0.1307588018800151
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,6,0.6294114061403248,0.13363127208295406
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,7,0.6338572702854681,0.14089035501825448
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,8,0.624503008709426,0.16391781840064712
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,9,0.5796473002927488,0.16694163662940212
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,10,0.5599222544718231,0.16760553985133256
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,11,0.536473890108482,0.1641670150565956
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,12,0.5496810995992392,0.20757746661173387
