model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,0,0.6912529794280945,0.17537613417921724
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,1,0.7850797734492017,0.05451750982050395
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,2,0.8019875315935028,0.011761705854495662
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,3,0.7972206551181974,0.010207447019764327
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,4,0.7944676973468955,0.011483556630287432
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,5,0.7939035953947847,0.013860664773476087
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,6,0.7932280373971857,0.01901348165724197
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,7,0.7917209840967205,0.02436888935667666
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,8,0.7806593923691139,0.03292465034142111
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,9,0.7482035608086153,0.04850370747135249
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,10,0.7098425144842122,0.06959279046372814
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,11,0.6692503436790923,0.08321666226643638
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,12,0.5608335999411757,0.20942130388140745
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,0,0.24919961206750554,0.03906152612976286
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,1,0.3026811035786206,0.061303705907861626
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,2,0.35159988712601975,0.05695946515196528
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,3,0.37326023772772676,0.061325433145781615
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,4,0.3945396034676993,0.06789245785984484
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,5,0.4087773996002288,0.07490791500198608
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,6,0.4198090165556158,0.0786910349210658
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,7,0.426743408431646,0.07974519041492174
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,8,0.4181547854968598,0.07779838824569467
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,9,0.39337374137946274,0.07062397301731385
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,10,0.3710190871768636,0.06138819579117439
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,11,0.3373834647832641,0.05259368962135451
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,12,0.3664947557382041,0.061072789635737534
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,0,0.6931337943720141,0.1750432015791
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,1,0.7096401128524625,0.17101755066525276
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,2,0.7640405122522058,0.09450385834256168
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,3,0.7353566901009803,0.09224499410249018
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,4,0.7159947284405473,0.1070215966497152
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,5,0.7154507214814858,0.13273212923387914
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,6,0.7156673196089547,0.16393701826108806
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,7,0.7047184397714007,0.17468577105429384
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,8,0.6714335443267396,0.17667453792890025
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,9,0.6098760324459994,0.17794733905147417
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,10,0.5803735166518326,0.17114268926697324
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,11,0.5500075540878526,0.15918620071638934
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,12,0.5596551564163628,0.20219441459836976
