model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,0,0.6919217427156443,0.17162484959554136
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,1,0.7380024675218977,0.07154946731484171
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,2,0.7287078619186365,0.015192979591335688
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,3,0.7255736846780847,0.01410068875184311
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,4,0.7301523569924012,0.01599462281279627
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,5,0.73149316612268,0.018911690319654575
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,6,0.731319737007871,0.02216910658867096
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,7,0.7296585180077726,0.02964973422269247
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,8,0.7331419718410279,0.04433373821767642
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,9,0.7378668916096555,0.06173992927337725
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,10,0.7389125188076613,0.08323132168819578
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,11,0.7302689072189753,0.10219237615565754
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,12,0.7471483986819886,0.24234675374637696
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,0,0.08274591295005895,0.03551242434447991
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,1,0.14100782450002503,0.043722201114346215
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,2,0.15237505252548167,0.04074931882256355
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,3,0.17672440010568463,0.04342261333406918
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,4,0.19984691659323015,0.04717170341422776
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,5,0.22643918294584983,0.05042406427786697
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,6,0.24670799370992666,0.05255150826612962
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,7,0.2760951277801651,0.05247134566886572
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,8,0.3159620337722214,0.05231230741586281
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,9,0.32733865493606423,0.04846806514019316
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,10,0.3250147027436909,0.04486665887813157
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,11,0.31043907439043816,0.04005637430187182
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,12,0.3535945236435031,0.04711577289149133
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,0,0.6976613079807148,0.1742982238541226
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,1,0.6984138762359389,0.1992846862317959
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,2,0.7065603332188348,0.11779091637283629
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,3,0.6901720937590096,0.12221315987830983
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,4,0.7001285393235638,0.140863496791083
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,5,0.7109287430575031,0.16441924131100222
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,6,0.7158488160575129,0.18071426428414167
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,7,0.7218140366145739,0.19283652574444166
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,8,0.7481704570763481,0.20834905973640985
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,9,0.7587549256108278,0.208992055189156
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,10,0.7517458402501261,0.20652935977363818
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,11,0.7329391192388305,0.19904474687458906
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,12,0.7606822921303008,0.24580401212545858
