model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,0,0.7219417052273713,0.15494734321745454
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,1,0.8220754588503004,0.039901164002004205
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,2,0.8371936094368762,0.010635679539348304
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,3,0.8399211121855107,0.011136544906628696
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,4,0.8404225209690879,0.013201923825017964
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,5,0.8403703629104697,0.015781558200239118
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,6,0.8424498420677173,0.019826277367633333
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,7,0.8383091498513556,0.026004032524335398
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,8,0.8337220461319104,0.03795124036810286
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,9,0.8165844668484649,0.0526260170646205
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,10,0.7901430484366238,0.06918783226319289
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,11,0.75443415315874,0.0770185761963127
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,12,0.6015654469682322,0.2055087168326065
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,0,0.22803116156417133,0.038630863275392044
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,1,0.2901562372372479,0.0585721916564746
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,2,0.33850937133878944,0.056152860054963866
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,3,0.3737503508365704,0.06318813888544811
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,4,0.4020663237963057,0.07163860051208912
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,5,0.41565570604640184,0.0779522848898427
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,6,0.4273323246347461,0.08044076760802579
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,7,0.43478176488039694,0.08181990317322252
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,8,0.4314211031348987,0.08081598930336827
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,9,0.4120678211302817,0.07288559418367994
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,10,0.38585663500186246,0.0621777790391227
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,11,0.3401415596855266,0.05123859602127673
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,12,0.37090850181980306,0.05992128016528522
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,0,0.7328692671295036,0.15592954050567057
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,1,0.7372407863395002,0.1509872549414662
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,2,0.7830616136499375,0.07561931202478522
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,3,0.7842578889826848,0.08458893197775152
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,4,0.782023630817882,0.10313799679082082
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,5,0.7821679487481534,0.12384142754696542
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,6,0.7766175861093856,0.14239709336135675
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,7,0.762878259469701,0.16077841125019005
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,8,0.7322438214116138,0.17624449101329268
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,9,0.6708163592054687,0.17287072107573356
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,10,0.6372061759440231,0.16430985111714755
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,11,0.6005849302788895,0.14912733753991114
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,12,0.5986750462417746,0.19935911933426761
