model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,0,0.768034298353772,0.15023359402502132
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,1,0.8371603471024337,0.057428301275723986
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,2,0.8373455060891037,0.011753749470876651
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,3,0.8349344156054959,0.0120413032584356
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,4,0.8324389918592277,0.015134014385463211
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,5,0.8281265723234082,0.019895110902386694
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,6,0.8289251633280768,0.027300697677062842
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,7,0.8286951234580976,0.03822542936675372
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,8,0.8284872980846776,0.05895941798163024
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,9,0.8285609403946844,0.07791445288810848
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,10,0.8235016386732725,0.09884158523130473
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,11,0.8120191069140673,0.10744722056305765
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,12,0.8070772501823968,0.2694366760901883
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,0,0.5166415919167552,0.025798858096133054
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,1,0.4921540067966175,0.042439700520717494
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,2,0.545292484262027,0.04153723527598673
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,3,0.5779920752442232,0.04652826301304906
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,4,0.5915099470013536,0.052556075739342095
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,5,0.5911079286402762,0.058122337434616686
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,6,0.5929112337663529,0.06187906187514627
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,7,0.5884697390011281,0.0653263361502305
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,8,0.5749248225416286,0.06505124187929959
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,9,0.5635367924621407,0.061135766351312446
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,10,0.5391140165899023,0.05352804989498321
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,11,0.5092855576511224,0.043255762272061564
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,12,0.509651376451557,0.05186346055657924
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,0,0.7882753781266794,0.1616143231895562
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,1,0.7900068322796566,0.1814738854522381
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,2,0.8116490118294698,0.11169201224620065
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,3,0.8041892893713415,0.11957171101688871
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,4,0.8023634356401921,0.13463546466265938
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,5,0.8021062056774949,0.16497196368545766
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,6,0.8079656249243461,0.1916644075210835
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,7,0.8173393515598504,0.21464922518987217
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,8,0.8198242825153084,0.23196873857436845
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,9,0.8232567220227167,0.23113271232094412
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,10,0.8102841062245396,0.21967100222659058
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,11,0.7864206522898529,0.19656623328740347
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,12,0.8072780671122415,0.25758634228806626
