model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,0,0.7157401711862497,0.16818172660182887
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,1,0.8470136700259231,0.0723399944993126
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,2,0.836657120467134,0.025556596660987994
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,3,0.8320040934359284,0.028770053622585556
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,4,0.8267815373465511,0.03393965333580312
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,5,0.8284527127806623,0.03945336251669371
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,6,0.8315245654264227,0.04898448516825384
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,7,0.8299803487667191,0.06502123271068047
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,8,0.831090835865625,0.08819321028500232
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,9,0.8283310580355598,0.10970734511479188
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,10,0.8265113003673029,0.1292582780247812
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,11,0.8094876889036688,0.13153044098274388
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,12,0.8278913650173382,0.24734587447182832
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,0,0.5290979495153398,0.02409064615682708
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,1,0.5022890704395793,0.03727265891564009
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,2,0.5575566146578782,0.03598983128959368
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,3,0.5843383603497069,0.042581100503633486
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,4,0.5960305728500779,0.05014611329744778
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,5,0.6002971495767895,0.05601118320935606
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,6,0.6111885257039065,0.05967007015848523
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,7,0.6144533480741469,0.06246714380688163
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,8,0.6107448886922755,0.06244109938269732
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,9,0.6056805789454351,0.05790643564763777
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,10,0.58589894211396,0.05111295733826339
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,11,0.5497778291966596,0.04078001206220992
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,12,0.5431714185316734,0.05002102875525705
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,0,0.7407532491257383,0.15464302049452566
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,1,0.7907855753997554,0.18304468062401966
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,2,0.8123701660985987,0.11603843782366426
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,3,0.8051238202152224,0.14248402125948256
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,4,0.7986578386210226,0.17309369521455947
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,5,0.8093915543772323,0.20146944720178506
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,6,0.8285885344640583,0.22224953248518942
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,7,0.8367232675371821,0.2354207300140204
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,8,0.8421432021630432,0.24022189484339992
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,9,0.8447513491463408,0.22347340146351324
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,10,0.8370907619937126,0.20921811956911598
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,11,0.8143233772582607,0.18844086960820203
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,12,0.8317357385940692,0.24323002697251894
