model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,0,0.7633747143834244,0.12631748433514373
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,1,0.8287934711253693,0.04101025323285501
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,2,0.8359246751605852,0.01004055761298247
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,3,0.8358367706666622,0.011840798772063423
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,4,0.8358279210301708,0.014854751137379734
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,5,0.8376736097048614,0.01796042444003436
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,6,0.8390647019223973,0.023690418474369073
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,7,0.8356717517196991,0.030894725694560927
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,8,0.8319439589048873,0.0466740275829129
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,9,0.8296033150216725,0.0634113992778141
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,10,0.8179331647219933,0.08035128076665408
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,11,0.8133132178213468,0.08332370710019663
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,12,0.7634771925134551,0.24428057056227995
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,0,0.3913988689699739,0.03236072620367884
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,1,0.39226227173331,0.049611606997502784
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,2,0.44178741205735206,0.04684862305893465
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,3,0.4678091089927285,0.053615065031539365
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,4,0.4806829173819526,0.06149766308607153
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,5,0.48172035005443986,0.06770304894023121
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,6,0.4881293199072354,0.07063931730759015
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,7,0.4882075282713048,0.0708983916408808
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,8,0.47949342464330547,0.07094105436921591
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,9,0.46736104712700605,0.06514475197213875
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,10,0.44237422375853774,0.056004744969621593
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,11,0.41291456296118717,0.045701540733025105
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,12,0.436906736086544,0.06291087506628726
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,0,0.7253071713645253,0.14418649393613203
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,1,0.7661859896155037,0.14592326494464858
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,2,0.7957461362730022,0.07406448070619204
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,3,0.7981616791245196,0.0888639721630507
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,4,0.7951140757746383,0.11494575197826332
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,5,0.796869481741758,0.1383296286409814
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,6,0.8059557352222336,0.16273846750254062
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,7,0.8114148097317831,0.17711539054370595
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,8,0.8015635167081894,0.20809077523885305
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,9,0.7937991749610137,0.20697810140982198
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,10,0.7811533432839871,0.20043025254379562
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,11,0.7779022497674665,0.17936960425651735
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,12,0.7613658896924324,0.2525263713470957
