model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,0,0.6896768094393385,0.17007120821712693
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,1,0.7594520638042704,0.05655250591069269
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,2,0.7614250281293918,0.011710240572963528
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,3,0.760439410257175,0.012278382920420529
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,4,0.7607017581926998,0.014473749996542868
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,5,0.7582845595020292,0.016670158031250586
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,6,0.7578551262706786,0.020165531656953724
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,7,0.7571483104185303,0.026651569039024273
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,8,0.7544049766117877,0.040491927235292345
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,9,0.7512558327168025,0.05460674315711979
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,10,0.7480420473230069,0.07269776702455429
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,11,0.7407379012547611,0.08444310688802072
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,12,0.7618090092946584,0.2631153730576837
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,0,0.09695675115316489,0.041336210658924066
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,1,0.16124319001533474,0.0511792924215322
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,2,0.17731761267130144,0.04821295803877222
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,3,0.2029245086319776,0.05109175626777687
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,4,0.22693704157735126,0.05473702952982926
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,5,0.24181489242291446,0.0580162168413663
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,6,0.27124414329439556,0.06022166194778566
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,7,0.29122780831966255,0.06093804959715873
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,8,0.3304711202803994,0.0625959565855763
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,9,0.35079738135016436,0.05916696996957296
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,10,0.35862463113913357,0.054797848786438196
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,11,0.31764331318693145,0.04738538040320234
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,12,0.38076072190262866,0.05764227794074429
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,0,0.6978664615213844,0.1858579660409039
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,1,0.6933873982848248,0.19659501648525948
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,2,0.7198015185408001,0.1066760429166009
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,3,0.7126848887750633,0.1113045068506605
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,4,0.7155627968672565,0.13418688490759964
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,5,0.7142654227458752,0.14916113738162154
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,6,0.7161988684943087,0.16293809639738008
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,7,0.7182906655217113,0.17974611900759493
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,8,0.7350407364013597,0.21272953318991683
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,9,0.7485252424635842,0.21666553739357056
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,10,0.7519787308071734,0.21441127684470826
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,11,0.7275463778813208,0.20080594538079638
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,12,0.7748920975721891,0.26803781015736783
