model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,0,0.7464501574419975,0.14743723670318196
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,1,0.8391631803916195,0.039299130013029544
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,2,0.8204195376266644,0.0076672340200441905
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,3,0.8186421138595498,0.007360050757221682
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,4,0.8189586186974025,0.008967979636769223
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,5,0.8217848518968386,0.011961101075621353
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,6,0.8245161926068245,0.017877293385261395
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,7,0.822981422564186,0.0245617987925688
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,8,0.8234840233297737,0.03651208527243259
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,9,0.8234324838003766,0.05372224012310037
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,10,0.8262481621671643,0.07486969145939226
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,11,0.8230552071225732,0.08257036695215596
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,12,0.8081774660353955,0.2684351812857891
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,0,0.4225797603492326,0.029644201448032703
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,1,0.416872792145799,0.05011869137275438
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,2,0.49787998818997997,0.047354614366686115
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,3,0.5324097484800822,0.05122165328654719
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,4,0.5586722508938519,0.056788204079323876
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,5,0.5690445184384745,0.06327513795492196
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,6,0.5780536475828844,0.06785999495452764
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,7,0.5826414030344323,0.07093367589607671
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,8,0.5775173161051683,0.07158124648149891
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,9,0.5712071454576155,0.06851475436735112
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,10,0.5547292389172517,0.06109305262696112
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,11,0.5211839538764607,0.04885950987156961
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,12,0.529421065309756,0.06115551083070156
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,0,0.7866235953278093,0.15249570758661965
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,1,0.8011694229070512,0.15697914431820376
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,2,0.8035927396286323,0.07917371415565713
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,3,0.787681908418303,0.0765473163755915
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,4,0.7853299898383491,0.09079200516745749
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,5,0.7951044295240577,0.11767063649402343
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,6,0.8074856027943924,0.15926865555734737
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,7,0.8115179004909403,0.18748672026507346
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,8,0.812938486153673,0.2095373843063793
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,9,0.8138967909442734,0.21881661834835275
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,10,0.8142715294975575,0.2143843083441329
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,11,0.80060758693821,0.18590488133485458
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,12,0.8127287097161647,0.2699141389629112
