model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,0,0.7047021907013405,0.15770376418460919
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,1,0.801401831665817,0.065196817609427
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,2,0.7764234319985058,0.016151747510701336
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,3,0.780827316733569,0.016038977484478075
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,4,0.7770902385232026,0.01923586842899252
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,5,0.7801923775843079,0.02254596955100741
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,6,0.7851563125659821,0.03093535064848503
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,7,0.7884311325161756,0.04360609926388873
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,8,0.7939608463049339,0.0653586110192291
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,9,0.8025042986546028,0.08506830929924585
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,10,0.8113467061306138,0.10401777370936104
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,11,0.8129370488534367,0.11126743747300741
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,12,0.8256057042553526,0.2591363628424017
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,0,0.5803317528810289,0.02426427910398808
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,1,0.515207498072417,0.0455079107054589
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,2,0.5706041941508092,0.04377040737969513
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,3,0.5986719341077107,0.04926942776735434
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,4,0.6058943704635268,0.055911066071700044
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,5,0.6024766835721048,0.06200139831385979
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,6,0.605259573558751,0.06687672898532647
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,7,0.6062600610804864,0.07044839684486809
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,8,0.5987045002238394,0.07180461993464858
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,9,0.5909187991124825,0.0679501098079483
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,10,0.5720448502611756,0.06045814184170078
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,11,0.5454580794883784,0.048916996221362544
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,12,0.5434394383607015,0.057446076802550636
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,0,0.7361529356955816,0.177318646199762
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,1,0.770478627962982,0.21114652100982248
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,2,0.7896219883374593,0.13789914043782672
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,3,0.7855439370203865,0.14553943688755547
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,4,0.7829663494341456,0.16479216595703233
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,5,0.7911365703664753,0.17864896815833028
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,6,0.809315761718488,0.21134442107007065
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,7,0.8232815761344189,0.236952152872419
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,8,0.8328356552280172,0.2592203814884998
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,9,0.8371805181630011,0.24914571365498636
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,10,0.8327372976814158,0.23689649637264734
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,11,0.8210433566500228,0.21512966898580402
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,12,0.8298646487269252,0.26858228172731036
