model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,0,0.6988027610050214,0.1839332083430737
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,1,0.787767689865366,0.05580014938971909
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,2,0.7848246830225151,0.012628460556239228
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,3,0.7859800967396654,0.012452369069726205
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,4,0.7883810985513874,0.012758104880107342
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,5,0.7900434738395516,0.013808083752409663
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,6,0.7918684445158486,0.017401182033594628
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,7,0.7904798315578287,0.024402754210943563
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,8,0.7904686595079197,0.037763703608805675
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,9,0.7904106688200054,0.056457484852264456
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,10,0.7846509133102332,0.07519202631311109
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,11,0.7770379228002687,0.08537349035704639
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,mean_pool,12,0.7339323670877137,0.23984905113580465
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,0,0.09542432478385865,0.032765310351537534
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,1,0.15003364199168878,0.04024191831777979
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,2,0.16328758219010794,0.0374128432637491
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,3,0.1880111031113502,0.039500449007948524
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,4,0.20864406204137784,0.04194955537074461
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,5,0.2226454846102637,0.04395004439238008
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,6,0.2557898195332847,0.046024022621736126
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,7,0.2788512252301157,0.04752473803197904
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,8,0.31636239540402955,0.048580569904244794
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,9,0.3357059823899875,0.04567771242695391
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,10,0.3359879730946283,0.04131689447820139
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,11,0.2980894439092858,0.034391618960939944
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,token_aligned,12,0.34451992045588253,0.0413279007448524
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,0,0.7305320937550521,0.1851353503161357
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,1,0.7399987956414198,0.19458553778754403
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,2,0.7536479045223691,0.11005547542002533
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,3,0.7496940056396998,0.113624682857066
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,4,0.7555149268397788,0.12165105465396477
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,5,0.7561498764967709,0.12101098600779552
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,6,0.7471026356407159,0.13589167056840562
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,7,0.7520662378552848,0.1664866823046942
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,8,0.766510468264622,0.20706820108745
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,9,0.7675223669578676,0.21676073148375388
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,10,0.7579914203895854,0.2122250140625532
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,11,0.7341032067899699,0.19419776351265627
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,bouquet,sgpt,12,0.7464447176115897,0.24947325164494544
