model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,0,0.6197025898530679,0.15857681210174635
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,1,0.6155267742109535,0.05710811758341572
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,2,0.6058120373398311,0.011514164117930879
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,3,0.5989050604394358,0.011573508801524784
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,4,0.5976207129234397,0.014635436596053302
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,5,0.5990558155053765,0.017250873442332657
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,6,0.6004963648408892,0.021077866721537362
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,7,0.6032810322066935,0.029634715633685436
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,8,0.6098832998688728,0.04220775861044852
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,9,0.6158340089586666,0.060307289894087596
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,10,0.629400779220647,0.080269778274751
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,11,0.6428684191820966,0.09494753725804894
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,12,0.7340862560329114,0.24795297792146495
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,0,0.08943217677030575,0.04067430762559688
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,1,0.13281028036506481,0.045932194838801295
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,2,0.14796366639231903,0.04232661791558719
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,3,0.17212851718746905,0.04598755474657134
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,4,0.20613535944829844,0.05092399090226433
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,5,0.2111450248949474,0.05362652680871014
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,6,0.2403869271635199,0.056231527819607524
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,7,0.27603046246451224,0.05675124452299188
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,8,0.3049119600426827,0.05754020132013723
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,9,0.3288610525068839,0.05269071166083048
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,10,0.3286563240302369,0.04955691752149247
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,11,0.3028002057847995,0.04364903981018564
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,12,0.35088669366009384,0.055113447983246334
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,0,0.6350709483797334,0.16052097775351767
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,1,0.6322751833960343,0.17683271534980685
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,2,0.6139944150178243,0.08899142556958746
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,3,0.591128054470076,0.10357064480122709
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,4,0.6050881140222956,0.1267850850757377
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,5,0.6099778826899018,0.13889421687585496
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,6,0.6217908556085897,0.15097000939885397
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,7,0.6378572201740167,0.16473917001865146
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,8,0.6813132821472835,0.1919842066635761
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,9,0.71579187580598,0.1971371564243196
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,10,0.7258455673890664,0.19551998333920223
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,11,0.7120073211301732,0.18333329415592903
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,12,0.7548224982541539,0.25059038778166143
