model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,0,0.7263571875719632,0.14706246048621568
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,1,0.799100513475767,0.05714950686763208
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,2,0.8009901730400945,0.012364642499527595
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,3,0.7974864553147198,0.012587933655852125
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,4,0.7943518877034782,0.01615557848923379
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,5,0.7949260569511222,0.020815534475078876
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,6,0.7944791613440756,0.02945866364348744
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,7,0.7915785915801968,0.042162884946398776
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,8,0.7881550789385988,0.05603029091844625
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,9,0.78579504602223,0.07732289028103798
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,10,0.7928895115482398,0.09777612504617869
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,11,0.7935786916912735,0.10622241022049567
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,12,0.8035197456678582,0.23686764078358166
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,0,0.402067185669697,0.029751557487678756
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,1,0.40214987630726506,0.04769598320234016
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,2,0.47728174812310187,0.044398999643862604
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,3,0.5044612597974949,0.04937042586951311
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,4,0.5191231177949329,0.05542726491885729
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,5,0.5310660449777435,0.06149876471699456
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,6,0.5381699433845305,0.06560317058547814
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,7,0.5450977812016248,0.06767853121252569
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,8,0.54554714586072,0.06668759333461505
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,9,0.5377224757368129,0.0628394529290532
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,10,0.517582540848795,0.05682022816407562
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,11,0.4905280681163348,0.04739578157114614
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,12,0.5006767759175096,0.059099351682727265
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,0,0.7526450033479906,0.1460712975865242
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,1,0.7637897754356591,0.16982028800842164
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,2,0.7952924862320321,0.0933643174579824
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,3,0.7719021842441849,0.09821703160713799
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,4,0.7580063449722909,0.1209613973789445
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,5,0.7706327374607129,0.1482766340006573
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,6,0.7917069463403132,0.18518235268174504
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,7,0.7907429583508234,0.2052058128103733
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,8,0.7979281508445615,0.20947625678088083
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,9,0.8083047952954161,0.20778641152926844
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,10,0.8062168409815219,0.1967511323771778
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,11,0.793907814407994,0.1697290535224692
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,12,0.8082252052799284,0.2408641640968338
