model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,0,0.7627290241077208,0.12101872679367368
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,1,0.8243616344577446,0.04742425378504168
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,2,0.8292832333139544,0.009082506916349872
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,3,0.8250001934647534,0.009334207647109858
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,4,0.8238931642492734,0.011981930724810713
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,5,0.8228644898536218,0.016521672092354427
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,6,0.8215769631699246,0.020688324418688616
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,7,0.8189681099170587,0.027726378700041212
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,8,0.8168977908848892,0.04029982224697604
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,9,0.8078040735516524,0.05448973148732856
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,10,0.7977042526584156,0.07060335984137164
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,11,0.7872310706529788,0.08164402475936024
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,12,0.7147634687404699,0.24599816380983766
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,0,0.42123511179720585,0.033668325950208675
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,1,0.4132607401627536,0.0500630960342197
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,2,0.4590645141877353,0.047600424017806814
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,3,0.4816692396935351,0.0541272081649156
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,4,0.48922978038588605,0.060910882612105484
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,5,0.48727907491449196,0.06692377580734328
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,6,0.4895288040140919,0.07030138956840709
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,7,0.484321582375722,0.0705863792759755
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,8,0.47183465934912855,0.06964146726872353
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,9,0.45794808049206437,0.06351425744315517
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,10,0.4371434092653291,0.05562863630163835
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,11,0.4156726225249894,0.047424838224644814
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,12,0.4421687235156502,0.06140114473510477
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,0,0.723058821360338,0.12881404238592262
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,1,0.7559820392147276,0.14230114774713865
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,2,0.7897879111852663,0.07029015303279605
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,3,0.7713599516164588,0.0822223747965444
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,4,0.7583833564159477,0.10216152893958849
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,5,0.7559827144319194,0.13365500858671012
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,6,0.7620333608165883,0.15811872045601835
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,7,0.7748263153520436,0.17345182420835134
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,8,0.769539208819475,0.19711792205748915
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,9,0.7605682040768034,0.20134324502635728
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,10,0.7489368613545883,0.19597910416503295
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,11,0.7355539149352032,0.18225432013229798
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,12,0.7135257147973104,0.24503401972692215
