model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,0,0.7500262811844832,0.12197055205220343
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,1,0.8041677306106808,0.05094582838657314
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,2,0.8126158651754397,0.011544992329599671
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,3,0.8101496530872428,0.013192163726071971
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,4,0.80664207675671,0.0184555319514072
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,5,0.8053288534928316,0.023137528619926698
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,6,0.8081627573088449,0.030388171465815007
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,7,0.8083526263312705,0.04299550514222145
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,8,0.8032086213563792,0.06050330153577735
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,9,0.7952341185306324,0.0829011507278262
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,10,0.786649119586101,0.10190791862307284
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,11,0.7786829142272036,0.10936818011354656
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,12,0.7324518566054306,0.25336732079500107
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,0,0.3496155947523713,0.03295050947342668
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,1,0.3557706341085976,0.047477026058787654
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,2,0.404806509792864,0.04413841778874236
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,3,0.42416835722615875,0.05143460844453806
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,4,0.4320215598644973,0.05960091873674959
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,5,0.4351439544886111,0.06479343824701353
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,6,0.44143786206948815,0.06742633539649329
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,7,0.4413909983666769,0.06744994881129072
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,8,0.4364255107280365,0.06655223558544285
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,9,0.4232958687926806,0.060695637401926995
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,10,0.39979554303590603,0.053184787445871205
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,11,0.3736560187980055,0.04464354563190147
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,12,0.40573215770411236,0.06068878421057552
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,0,0.7312010278086748,0.12438533717588884
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,1,0.7617811632618029,0.14595944224947663
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,2,0.7966763677541825,0.08164127988534477
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,3,0.776545322241027,0.1122034200165628
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,4,0.7719565235353758,0.14972096880745941
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,5,0.7683079242763063,0.17836707127551613
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,6,0.7762856898922501,0.19865249315620487
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,7,0.7889156786560485,0.20815069573027695
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,8,0.7813944400383672,0.22061330447216354
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,9,0.7681507093007284,0.21320740218168172
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,10,0.7571630703183773,0.2057018239377739
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,11,0.7456620076286672,0.1854295294942059
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,12,0.7378012157850171,0.2443925745602687
