model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,0,0.6500592891991809,0.1513877430649306
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,1,0.6640698793135933,0.0549976153478828
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,2,0.6492849770300902,0.012006521553059707
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,3,0.6456012527451321,0.01213882820673699
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,4,0.64604072684894,0.014653067719069641
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,5,0.6482101167444281,0.016970959519843763
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,6,0.6507805458792837,0.019549202537436652
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,7,0.6525601497913209,0.023662329914770824
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,8,0.6554339504913111,0.034051582917648135
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,9,0.6626613936707217,0.0490270333456078
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,10,0.6644032653283365,0.06754315582170152
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,11,0.6602121956236077,0.08271281481298516
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,12,0.692272002048948,0.2583650093365231
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,0,0.07451054933639782,0.03128354147643855
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,1,0.11745137159124287,0.04127163677446886
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,2,0.13459490267432553,0.03868019714715735
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,3,0.1685567138252944,0.04237775385557248
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,4,0.2031915255578468,0.046535885560019995
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,5,0.22451889265660052,0.048475259607011364
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,6,0.23996748850674576,0.05012577979622974
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,7,0.2562773966127265,0.04829095153849787
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,8,0.2767092048324641,0.04896755665291333
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,9,0.2899311808085729,0.04487504751382368
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,10,0.2925830489699273,0.04164266731069263
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,11,0.28110689155702,0.03732285216049388
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,12,0.3657153601368013,0.04944034811346769
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,0,0.6448125657681123,0.15047909468942267
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,1,0.6304338280142219,0.1636502070910451
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,2,0.6285728560215486,0.08102431252549087
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,3,0.6166602735171659,0.09575038427552676
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,4,0.6251857705269095,0.1258484203130977
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,5,0.6271240544062076,0.13792283891132134
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,6,0.633767988865624,0.14826315771994514
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,7,0.6537936111958322,0.15553860018720114
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,8,0.6746987782964796,0.18942527899558828
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,9,0.6841244848430738,0.19755468272995835
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,10,0.681630857081165,0.20806020243993978
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,11,0.6649479089093515,0.20422015581558753
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,12,0.6956473921383501,0.2603523009650166
