model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,0,0.726859769543358,0.15529397925381477
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,1,0.7912496376067998,0.0633099695392357
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,2,0.7869865711290093,0.017101138819889942
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,3,0.7808117157819227,0.016268228279313703
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,4,0.7770760131311608,0.018593016619153736
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,5,0.7778711847206283,0.022307069947284
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,6,0.77923838692658,0.028590928314259793
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,7,0.7813490323801574,0.03433679818186587
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,8,0.7802707422667293,0.04488508823652248
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,9,0.7841746636216987,0.060389274482298104
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,10,0.7848332292574377,0.08068702679669391
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,11,0.7825957314722908,0.08817324973158722
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,12,0.7555934801586388,0.25313604395379846
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,0,0.3258779854446404,0.03038198199507592
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,1,0.3308420780059526,0.050470837824133516
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,2,0.39109318387912045,0.04667735831162433
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,3,0.41232585157984764,0.051029501855197966
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,4,0.42560465338814557,0.056867664149806534
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,5,0.4277163059883991,0.06239700948227942
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,6,0.4329887607765938,0.06618732653387961
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,7,0.4342100162123671,0.06624943252814164
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,8,0.42909148789584517,0.06594512138317038
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,9,0.4129178907358686,0.0610290374521482
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,10,0.39129561535561286,0.05324804905656143
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,11,0.3656352485506906,0.04403344562655755
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,12,0.400203451132827,0.061027063287575484
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,0,0.7047777396477448,0.15178838243521178
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,1,0.7442258786467304,0.1682940190447156
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,2,0.7747229057902204,0.09636047811645389
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,3,0.7444333671171313,0.1011608789177719
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,4,0.7233495541120292,0.123498150587734
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,5,0.7254758751188639,0.15347651499483525
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,6,0.7488913472943259,0.18899601648607026
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,7,0.7701045486136622,0.19784540039841858
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,8,0.7719805530416485,0.21034135995122338
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,9,0.7753849660136358,0.21461982402613802
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,10,0.7720270716821942,0.21101814806852626
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,11,0.7603823299256718,0.1894103593952808
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,12,0.7602357373939314,0.2502501593307375
