model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,0,0.7577086896716838,0.15747217768589675
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,1,0.8351772469671137,0.060353886599052185
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,2,0.8532508248739786,0.012433397257895884
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,3,0.8531229253702977,0.010403083442643533
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,4,0.8530099260346912,0.011578945572402667
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,5,0.8530275241447542,0.015731633815387065
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,6,0.852971046705605,0.021149704003601607
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,7,0.8499220374998133,0.02834321536610542
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,8,0.8451189858201024,0.03924347254608927
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,9,0.8403041334213638,0.05526136799053219
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,10,0.8342338228656894,0.07383728640519041
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,11,0.8220491533663244,0.08698845425697711
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,12,0.791790840677872,0.24424443807647145
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,0,0.44476686091870693,0.028672414164453985
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,1,0.412739870367423,0.049669822870717764
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,2,0.47690741417774846,0.04675382619847085
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,3,0.5095341497119676,0.050156750615915756
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,4,0.5297364325370323,0.05463260592683155
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,5,0.5367066786736171,0.0607009470250067
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,6,0.5423589871518646,0.06596402664581454
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,7,0.5441620763816488,0.06886996554911039
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,8,0.5373031055121781,0.06852808651428934
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,9,0.5222996655677629,0.06547281151262827
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,10,0.49424080010451893,0.059282639352432775
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,11,0.45801589660888115,0.051058975275181696
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,12,0.4747638747524848,0.060275733669751065
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,0,0.7503755360596719,0.17530107330860545
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,1,0.7698218947693138,0.1672748515821063
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,2,0.8279669220066973,0.08053011210901909
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,3,0.8284157624956329,0.07357748603868079
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,4,0.8285171408846529,0.08141714096803664
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,5,0.8213178644840349,0.1092941702187313
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,6,0.8237708508960765,0.1481376766285668
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,7,0.8208457406417567,0.1722968593461196
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,8,0.8196363880458746,0.186864273633108
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,9,0.8164293147522559,0.19888284998120284
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,10,0.8079302087987907,0.19708855997321006
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,11,0.7869137618214643,0.18082279019143585
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,12,0.7932769650382321,0.2416265444042579
