model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,0,0.6168147289595437,0.18829474425860382
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,1,0.6979818365617911,0.07333683271306643
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,2,0.6792516774984769,0.02500311365915371
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,3,0.6709102319995439,0.022164983370054812
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,4,0.6705325553231444,0.02356052615775564
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,5,0.6729032313251087,0.02479767752122138
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,6,0.6745823628624273,0.02842124605634353
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,7,0.6768930470076219,0.031895892817163284
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,8,0.6816663315408052,0.040562891999417504
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,9,0.6859201941985642,0.05642470151108182
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,10,0.6912665752644699,0.07841776557637836
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,11,0.6885601584916807,0.09574150146047428
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,12,0.7310949066109695,0.2818131362234085
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,0,0.0893914119794599,0.04262537843279736
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,1,0.16544610972415966,0.05809180500360165
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,2,0.1666830176919503,0.05289363966760086
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,3,0.1711171877145979,0.05284585397279203
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,4,0.19042621931698775,0.05530190186335642
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,5,0.21806477161773755,0.05900469563730147
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,6,0.2552493240875248,0.06238696688227744
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,7,0.27279234948034314,0.06291781514474289
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,8,0.3019138351634527,0.06431724645628233
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,9,0.323385923800682,0.0607830937701738
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,10,0.3418800355835638,0.05685478014406154
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,11,0.3198659073445456,0.05014059967444361
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,12,0.3829522445965792,0.0631854236031407
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,0,0.6431637412246142,0.18039573611729548
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,1,0.6548779619210164,0.1877144603997406
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,2,0.6735010017868094,0.08556864968102203
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,3,0.6523285033986297,0.07558638373377613
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,4,0.6483064318618682,0.08846629145819879
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,5,0.6683441640767097,0.10571656255825318
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,6,0.6878706288645927,0.1331495281545408
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,7,0.6956054914633908,0.14882198551928777
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,8,0.717491744020454,0.17602454560867706
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,9,0.720989890806052,0.18980731685802388
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,10,0.7217102631236997,0.19543449680001296
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,11,0.7007436893741856,0.1833271047851665
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,12,0.7469597617098479,0.26299871174218
