model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,0,0.6633319228601912,0.15552515104494027
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,1,0.7012842651344557,0.058276818986610336
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,2,0.7110878340569133,0.01792964771448118
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,3,0.7130823171175825,0.017028478236712268
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,4,0.709932122612386,0.01925688979388571
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,5,0.7112521197499403,0.021088599566073406
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,6,0.7146617447195749,0.025986344559213254
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,7,0.7181955606658595,0.03343651876300815
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,8,0.7174226613484892,0.045267562716737146
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,9,0.71002921730669,0.06055832528723424
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,10,0.6973403597762496,0.07794231095964446
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,11,0.6811622884125791,0.08964048101244311
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,12,0.6047227786212157,0.20011455632765437
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,0,0.2291961831051838,0.028870832593555263
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,1,0.29525727685931863,0.05403973501935772
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,2,0.34348050982522754,0.050148899594088005
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,3,0.38028091208187464,0.055205094453127816
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,4,0.4110839802863781,0.06223538944003837
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,5,0.42987714678654304,0.0671312534851811
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,6,0.44049529649425084,0.07137415928402116
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,7,0.4516121342421196,0.07246976676312109
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,8,0.449901430225195,0.07164508630850902
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,9,0.4380098397539107,0.06610001709037644
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,10,0.4137209514411473,0.05821345723941114
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,11,0.38208809498637747,0.05131468353431387
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,12,0.3961247098010039,0.05659960140563428
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,0,0.6619572432225913,0.16024837902897035
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,1,0.6786142486770949,0.17512643236491054
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,2,0.7092651777370752,0.09965518324804963
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,3,0.6955187731845067,0.11011896922837568
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,4,0.6932510156026249,0.13047498936296884
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,5,0.700130003290021,0.14363063972770765
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,6,0.7022373249914896,0.16455797699346628
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,7,0.7053352375545018,0.1784174499649043
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,8,0.6820741124879016,0.18760604336743736
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,9,0.6452020819047395,0.18004667611469505
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,10,0.6218438814650179,0.17247003378030215
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,11,0.5983060836358918,0.16214055270617586
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,12,0.6083791701547457,0.19784931275167014
