model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,0,0.7510613888555165,0.13870686184466172
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,1,0.8491786261668323,0.05753523261650125
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,2,0.8477073042202512,0.01421898180458763
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,3,0.8468232513161252,0.01276895326768961
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,4,0.8486967601654749,0.014377986268942643
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,5,0.850396925241738,0.017423072301296267
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,6,0.8495987297030457,0.022685345830496143
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,7,0.8507543732392266,0.03049063097304938
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,8,0.8517840449359967,0.0440052036420075
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,9,0.8533014088384901,0.057525407940914264
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,10,0.8539663204031217,0.07320435534378597
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,11,0.8477857066042975,0.0857406097125331
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,12,0.7934202177720305,0.24161019615927923
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,0,0.4763998567552953,0.026286670519029363
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,1,0.44214915734834437,0.0479559813761113
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,2,0.49451978901598814,0.045701054555997725
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,3,0.5305218106354825,0.050703645056437714
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,4,0.5474390106492361,0.05680581288090192
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,5,0.5493817632289848,0.06277186734499413
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,6,0.5491590275290099,0.06774841116747918
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,7,0.5475944739173939,0.07174850623164228
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,8,0.5396280371176592,0.07174668347166409
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,9,0.5299704248718105,0.06779249009658422
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,10,0.505472768876415,0.06142505962544002
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,11,0.4796453061155213,0.05257667629986048
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,12,0.48244661470878486,0.05870194475421465
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,0,0.7392103165868447,0.1711031495303153
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,1,0.7915020865313308,0.18011545080140176
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,2,0.8263132630793153,0.09088664324156787
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,3,0.8194461522283981,0.09075855274238777
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,4,0.8229855424871285,0.10178234722688606
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,5,0.8270793946571469,0.11991219096153329
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,6,0.8240165341187186,0.15328713672801636
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,7,0.8279982551235103,0.18391473135456773
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,8,0.8292872151635278,0.20493341999848813
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,9,0.8297490137468602,0.20979426530351178
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,10,0.8235143607527002,0.20527790669969326
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,11,0.811621730376182,0.1911838758407293
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,12,0.8005649020850443,0.24897260403318253
