model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,0,0.726884104203094,0.16279615258431346
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,1,0.7811485211092077,0.0774726966219721
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,2,0.7703849830846055,0.0255154550288773
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,3,0.7687380121324328,0.026716509408361355
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,4,0.7734590647374737,0.03227088446924177
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,5,0.7732725998550827,0.036834732747427684
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,6,0.7733935615324944,0.04615238857938342
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,7,0.771211151541131,0.061781122240088616
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,8,0.7736299223990608,0.07982049163304682
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,9,0.7679783876489189,0.09878776426462899
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,10,0.7729770761277894,0.11540819117135816
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,11,0.7766682454099083,0.12460326586077866
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,12,0.8183772235412499,0.2531720502771135
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,0,0.6052101948152399,0.020948626668824705
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,1,0.542293436141523,0.03850927520902136
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,2,0.5907282339233529,0.03723787210494817
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,3,0.6131754264603457,0.04349248371587453
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,4,0.6166937315637684,0.05138717393604487
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,5,0.6186419975917946,0.05694862256259761
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,6,0.619854635998187,0.06233133345996344
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,7,0.6203930159539632,0.06580140882147346
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,8,0.6156945020385022,0.06593748782367113
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,9,0.6115032458868566,0.061725270793475125
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,10,0.5979396196509057,0.055815738655443474
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,11,0.5792432751507124,0.046926783771920784
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,12,0.575376064554969,0.05618296770645714
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,0,0.7190199761412531,0.15262725417147385
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,1,0.7673835268336965,0.18287992487346896
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,2,0.772225952883727,0.1037294015609943
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,3,0.7450667958643145,0.12520703165226468
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,4,0.7510149542962278,0.15396709633928282
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,5,0.753427966105133,0.17149346993838407
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,6,0.7797003653695275,0.20363087514906622
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,7,0.7922948233561544,0.2286508800854444
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,8,0.8080251557112605,0.24255728975588742
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,9,0.8156272454567031,0.23322900748671443
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,10,0.8169675524607644,0.22467325917024242
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,11,0.8100384700190394,0.20939053193387536
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,12,0.8254391517228906,0.2596069979731146
