model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,0,0.6789995724880238,0.13888588443332325
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,1,0.6766034539309713,0.06892644308939347
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,2,0.6493397576281489,0.024175172450181925
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,3,0.6482018131358276,0.024086221799319525
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,4,0.6519544018652483,0.027169359846598778
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,5,0.657559784718282,0.030009658884156448
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,6,0.6589942711362131,0.036231346757584534
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,7,0.6674993476286746,0.04281808332792762
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,8,0.6775474574428557,0.055894034050966476
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,9,0.695490590529391,0.07019713548739799
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,10,0.7009073870806446,0.0871940716742714
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,11,0.7022245981035358,0.09515540671560234
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,12,0.7187739477586338,0.22464480541479176
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,0,0.32349882256095236,0.03307913528819537
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,1,0.3251985065429074,0.054780523568388015
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,2,0.371257471032133,0.05149933231615404
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,3,0.39383214599360716,0.057010014234132024
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,4,0.4063479518402338,0.0634981410120142
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,5,0.4076553371101475,0.06889125696235514
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,6,0.413348057539322,0.07255563967372428
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,7,0.41746876892668044,0.072936969443381
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,8,0.41191836248719715,0.07285289207098547
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,9,0.4023329519517836,0.06710565852249177
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,10,0.3773650103947031,0.05911656262428952
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,11,0.35110825548821556,0.04970169338444022
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,12,0.38969224815251446,0.06337439131265805
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,0,0.6445674189739805,0.1448225466908061
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,1,0.6707755835512534,0.17637747483210114
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,2,0.6680544851120376,0.10213079604543168
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,3,0.6585863740697174,0.11918427905443611
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,4,0.6716877958832337,0.14313001924845908
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,5,0.6831973992669477,0.16000643894157193
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,6,0.7020188454368212,0.1885767664407823
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,7,0.7211544702727899,0.19812759221408857
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,8,0.7266451558511988,0.21528508937097285
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,9,0.7378743411019985,0.2072621635486749
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,10,0.7266596363820944,0.20300159122093703
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,11,0.7089174376671704,0.1904294928845464
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,12,0.7217490128557705,0.23605096042959248
