model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,0,0.6331029353744424,0.17739125040055723
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,1,0.7230317017102831,0.06933302198642753
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,2,0.718967964386367,0.014076104778936524
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,3,0.7181716166515502,0.012671356578052413
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,4,0.7187804928742393,0.014242628613537867
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,5,0.7204077660703226,0.015688286174943673
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,6,0.7182777205315107,0.02008657997339273
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,7,0.7183324074713674,0.027360690073385822
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,8,0.7224615350168818,0.04228067785013829
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,9,0.7333677227986937,0.05920429815439729
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,10,0.7400160473553338,0.0810828451553769
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,11,0.7339938741221606,0.10176426567265592
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,12,0.7340265603076659,0.249865137061302
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,0,0.06918501916624556,0.033929550647167045
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,1,0.13886742387378645,0.04774598868805454
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,2,0.15160129371608766,0.04390925689218719
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,3,0.16718555075310626,0.0456287134441644
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,4,0.19486007030124067,0.049071790821859675
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,5,0.20765985101388443,0.05174162406539212
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,6,0.2422859079489754,0.054910674684117255
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,7,0.26934654888096066,0.055011891983195206
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,8,0.30389885870790023,0.055969988507676295
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,9,0.32307900568412706,0.052449789100431334
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,10,0.3233775085054363,0.04850130418285731
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,11,0.30661718332137305,0.04295273055671478
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,12,0.34844488259090295,0.050712912975767986
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,0,0.6331866975879837,0.17371190015805812
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,1,0.6758806694179392,0.21615064774588055
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,2,0.7062841709079256,0.12289003776689278
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,3,0.6948273549893421,0.12954375755843364
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,4,0.7021169330313141,0.15456985502441983
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,5,0.7124929655127357,0.1617490454276473
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,6,0.7171091426847902,0.18297493638254692
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,7,0.7196462978884807,0.19870399049692344
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,8,0.7393397269652937,0.22227250418101666
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,9,0.7546744514044246,0.21719042847425976
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,10,0.7510549865173641,0.214300765085976
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,11,0.7270899147178038,0.20437525271882512
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,12,0.7485386157477878,0.2540066079862489
