model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,0,0.6835224119327219,0.1577206942147222
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,1,0.7890470457547255,0.055869723160463215
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,2,0.7911867318032607,0.012122889094123466
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,3,0.7867055238176149,0.010288675388558164
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,4,0.7871665537428327,0.011652424763105726
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,5,0.7883374427317265,0.013649726839716362
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,6,0.7898001221166038,0.019990017326980875
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,7,0.7906239373149234,0.026387545639844953
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,8,0.7896668136310593,0.03692416221383309
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,9,0.7921969509491714,0.05164913275313509
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,10,0.7999713422660266,0.07160051907208513
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,11,0.8023655316203571,0.0864195733544817
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,12,0.7930518459771041,0.26026184423187376
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,0,0.418601907880503,0.02747383875006586
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,1,0.40970920219774126,0.052578364843085805
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,2,0.4706431346872491,0.04912000950708561
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,3,0.4976069292171197,0.05253905673670191
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,4,0.5190240658724414,0.05746585053047845
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,5,0.5307207529300434,0.06374615000824642
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,6,0.5365717369104318,0.06947918860756497
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,7,0.5437902138891485,0.07197404347637004
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,8,0.5437632938230914,0.07220394621444375
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,9,0.5395437798424331,0.06960422655124945
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,10,0.5215973047690523,0.06387680805665245
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,11,0.49141225500994173,0.05504496536959994
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,12,0.5047913308881267,0.06450301013646147
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,0,0.7016187255684413,0.1551246465151553
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,1,0.7504173538843669,0.16870767271918644
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,2,0.7793507895300141,0.08844851739512881
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,3,0.7624770739622764,0.08101492913986846
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,4,0.7593817096775298,0.09124909239012051
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,5,0.7752681794545078,0.11281975884586455
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,6,0.7853973400439933,0.1569380505802752
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,7,0.7914309268608096,0.18132104460765183
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,8,0.7969059711436828,0.19553566733680441
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,9,0.810753077763088,0.2011870774012952
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,10,0.8127277900196513,0.19804337854963425
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,11,0.8003223528025947,0.17996571639017855
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,12,0.804026481441056,0.24252728988433309
