model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,0,0.6014453657281817,0.18392207598074925
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,1,0.6498146339417373,0.05773700815993997
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,2,0.657079013440325,0.016905001416986823
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,3,0.6502333051893021,0.016817113770244915
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,4,0.6530479985346537,0.016198784945234353
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,5,0.6525182130021945,0.016947396726574325
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,6,0.654658166435582,0.01874649257863103
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,7,0.6570508764635381,0.02421649733774777
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,8,0.6558054172639851,0.03430202285591198
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,9,0.6425277011844511,0.05218667983597716
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,10,0.6199325828985514,0.07113418608859333
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,11,0.5954817882307848,0.08700537365320371
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,mean_pool,12,0.5505751887464594,0.19819372213598502
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,0,0.11496979013278641,0.045799483329649136
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,1,0.16271404810782875,0.054089209189064597
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,2,0.17713994809126182,0.0487567369663986
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,3,0.1948409399311103,0.051467206749348834
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,4,0.21653510408724855,0.055666928628512906
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,5,0.2290767809192144,0.05812538891590093
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,6,0.24466476711572363,0.05902540070298541
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,7,0.26876600078174306,0.05884326764358966
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,8,0.2869382907542687,0.05849057958876376
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,9,0.29574013107115976,0.053189238234789896
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,10,0.30032214549590847,0.04794611415038311
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,11,0.28571907939753527,0.04285451750593012
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,token_aligned,12,0.3144031999748716,0.04736966963612749
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,0,0.6270202687322409,0.19495576835004183
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,1,0.6157405647820507,0.19879551655927705
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,2,0.6371015042851985,0.11924622644467944
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,3,0.6160269379377741,0.13146948228562685
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,4,0.6201693053974071,0.14165834609575823
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,5,0.6139383593141521,0.1396410606374485
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,6,0.6123998870502204,0.14240238776501968
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,7,0.627130474346732,0.16032536663289984
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,8,0.6261923498759547,0.1833666975185728
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,9,0.5880666702594044,0.18983151912695703
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,10,0.56179989320419,0.1840317602042384
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,11,0.5365534070994354,0.1762771507459223
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,bouquet,sgpt,12,0.5512477991289475,0.20259126008454323
