model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,0,0.6975439545849308,0.17913304755026724
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,1,0.7714792076710244,0.056989017416654325
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,2,0.7713693449965889,0.013658208400792576
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,3,0.772716156529429,0.013177413657204548
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,4,0.7755305429543702,0.013274458375222509
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,5,0.77693904125344,0.014674571726860949
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,6,0.7760008479478957,0.01763872224671366
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,7,0.7729525785826339,0.02369628366921031
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,8,0.7701759015032744,0.03591316978851361
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,9,0.7698548300712456,0.05144879797609575
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,10,0.7642928029459041,0.06928766392983421
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,11,0.7543631685453284,0.08527162597995366
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,mean_pool,12,0.7255579874471906,0.24313031890101577
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,0,0.09021158895987702,0.034727101192705064
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,1,0.14045154499600618,0.04540203607036366
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,2,0.1504898130103348,0.04203819912892668
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,3,0.17938999718055285,0.04385067078658742
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,4,0.20612338634692423,0.046206040856708215
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,5,0.2371348987382886,0.04856639447236796
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,6,0.26203230788218346,0.05098534406564094
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,7,0.29180036009723,0.05241226125479967
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,8,0.32069162704774856,0.05300173637042347
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,9,0.3272413150978379,0.05027028577408582
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,10,0.3247668492627881,0.04660064781547759
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,11,0.30949340879968285,0.04138491480010977
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,token_aligned,12,0.339861036464425,0.0470670260537066
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,0,0.7000634420255364,0.17701590876022497
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,1,0.730139761635714,0.18021750953514906
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,2,0.752138590610803,0.09576117829778386
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,3,0.7518491021485394,0.09351972450290909
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,4,0.7570987760518092,0.09555721515703713
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,5,0.752933138281435,0.10341296030758163
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,6,0.7441924375331566,0.11651072378121914
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,7,0.7481549449867624,0.14717772515936847
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,8,0.7597793450103084,0.1833199135448511
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,9,0.7645142805564223,0.2039471934014066
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,10,0.7572422358176422,0.20438617412598872
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,11,0.7381880765333148,0.19277753071391282
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,bouquet,sgpt,12,0.7371875596810392,0.2414255163552689
