model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,0,0.6363965896567437,0.16856959855252596
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,1,0.6840005693213193,0.058567669008370585
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,2,0.6778528548489643,0.016673406262806237
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,3,0.6723731845649038,0.017408422280690117
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,4,0.6690193047045596,0.01969587573565852
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,5,0.6684146657033792,0.02148103805089277
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,6,0.6693678431715021,0.025713690930724394
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,7,0.6694474834920441,0.0349390875092226
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,8,0.6746140243476891,0.04945930819599551
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,9,0.6789773741307565,0.0719443828377626
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,10,0.6875613368321211,0.09122452942076228
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,11,0.6869553020035041,0.10425051743932333
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,mean_pool,12,0.7261046890112308,0.23490101406882796
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,0,0.09254960846522843,0.03067946236336579
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,1,0.12597540758926182,0.03805758253196409
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,2,0.14427090515506538,0.03472704451184863
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,3,0.16752347650260474,0.03786592513864362
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,4,0.19766004528622924,0.04162393183870979
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,5,0.20556113686635397,0.044101756250538394
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,6,0.23074283027954362,0.046425311094531616
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,7,0.2664734298102468,0.047326825481239426
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,8,0.2946204632311612,0.04762561591362641
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,9,0.3162751497652691,0.04477334846716829
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,10,0.3141984220849327,0.04096042542144396
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,11,0.29118539866515813,0.03520594099101693
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,token_aligned,12,0.32478124762207455,0.04170648749884017
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,0,0.6515690736495447,0.16728866444684412
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,1,0.6678309608559869,0.17810287259236304
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,2,0.6950199932812111,0.10939310802535654
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,3,0.6806289332161208,0.125286540309873
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,4,0.688561141085313,0.14456579614059983
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,5,0.6855685493155743,0.1504710771919703
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,6,0.6951542469230421,0.1650600203491571
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,7,0.7065461089453425,0.19010620253880597
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,8,0.7355932577300968,0.2183140870078192
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,9,0.7516730437089707,0.22016344885121006
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,10,0.7413231872268634,0.21011171878608756
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,11,0.710824111014536,0.18784090249932156
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,bouquet,sgpt,12,0.7383514112320126,0.2375022910812351
