model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,0,0.6674760738346899,0.17846377173002959
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,1,0.7132410233424884,0.06525693994355951
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,2,0.71901918659406,0.0161988111104598
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,3,0.7178533832811458,0.016321843717368698
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,4,0.7190756679933616,0.016961968580378076
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,5,0.7203498766711941,0.018100857966834402
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,6,0.7216612459591409,0.021062600039494426
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,7,0.7229384240520167,0.02799439638477867
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,8,0.7197356374981579,0.041882259023802056
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,9,0.716436421086163,0.06162943528015792
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,10,0.7063601224290269,0.08235555336170067
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,11,0.6921378885990276,0.09563063347436405
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,mean_pool,12,0.6917022336162394,0.24367718968981192
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,0,0.09945560687617659,0.03300841782908389
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,1,0.13893762136958787,0.04092137677228117
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,2,0.15663232800828175,0.03719925225681712
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,3,0.1830420152798038,0.040213350021484996
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,4,0.21292263304483072,0.043662502224831076
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,5,0.23147275979622822,0.045852120915158785
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,6,0.24728657837805235,0.047580251641673996
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,7,0.2653102029810884,0.04708330757118651
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,8,0.2815546114527467,0.047902245680073376
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,9,0.29089479654329087,0.0439469706304756
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,10,0.28949696765930355,0.03944539545706651
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,11,0.27752579317266485,0.03408945953665648
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,token_aligned,12,0.3630581700534823,0.04558279363478565
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,0,0.6522034546857576,0.16723797436745427
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,1,0.6767478834924663,0.18704054946170387
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,2,0.7021237128388704,0.11528769376671018
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,3,0.7006256546573587,0.1338062296562028
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,4,0.7017930293609668,0.1475258693654882
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,5,0.6843887523178644,0.14603253248496514
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,6,0.6785408397628361,0.15452758733012056
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,7,0.7054979229220215,0.1671923628271687
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,8,0.7130023950733273,0.20363303899629934
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,9,0.7174581557729353,0.2162623638487239
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,10,0.7085710204636978,0.21863439719908484
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,11,0.690739267920188,0.20731923952251316
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,bouquet,sgpt,12,0.6964183943683788,0.25104050384369486
