model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,0,0.698853697022381,0.1839719635776549
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,1,0.7182699667071686,0.054664246596186225
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,2,0.7169638337358352,0.012243196186215676
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,3,0.7164780319651445,0.012016618544569441
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,4,0.7165267128246878,0.011552056668356145
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,5,0.7181168646456593,0.01110193421156756
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,6,0.7178862606466377,0.012255443506142187
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,7,0.720005469235371,0.01618317448471697
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,8,0.7249839306473431,0.025067460055703508
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,9,0.7296805834014465,0.04018817457307445
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,10,0.7319088806177952,0.05805729814173674
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,11,0.7305031022143361,0.07665830542277015
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,mean_pool,12,0.7482519595875854,0.24837383451019868
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,0,0.5036087349807459,0.09403821045180903
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,1,0.5284902798681896,0.11295690428339436
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,2,0.5704217006148647,0.10346537041475509
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,3,0.6020218112036047,0.1108410897380449
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,4,0.6121569918637078,0.12184888396981033
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,5,0.6168406661545228,0.12714465975547706
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,6,0.6201039915677156,0.12934056212993153
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,7,0.6232905441225847,0.13388135815980573
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,8,0.6286540828386965,0.13962903016946443
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,9,0.6417488358818189,0.1420471293338106
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,10,0.641659409612796,0.13619481677700615
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,11,0.6280082851778793,0.1266480954025128
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,token_aligned,12,0.6690462956933199,0.16421717801605334
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,0,0.6921122414287596,0.1949626809125056
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,1,0.6873513750129208,0.19969431662866013
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,2,0.6829035050114424,0.10621827086881203
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,3,0.6769371325224188,0.10762467490279273
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,4,0.6791551327822288,0.11474188971679475
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,5,0.6786582421622782,0.10882264660270347
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,6,0.6844226430962719,0.11157242669234305
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,7,0.7017104111711571,0.13034295340584534
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,8,0.7241599132824095,0.1694379402558764
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,9,0.7396390923156083,0.1902916168351666
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,10,0.7414162951373218,0.19721517454857249
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,11,0.7345576520231055,0.1934390106814996
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,bouquet,sgpt,12,0.7558053656947277,0.2446124333181649
