model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,0,0.6964087995286946,0.16608085970940994
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,1,0.7466429737750304,0.05223241367944766
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,2,0.7329314813485188,0.013956114637554567
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,3,0.7287703827805413,0.012253111225933725
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,4,0.7294111027427965,0.01177301807232571
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,5,0.7314971850376311,0.01242927911455226
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,6,0.7347076670785455,0.01500845229893757
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,7,0.737295924187825,0.018859342890792365
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,8,0.7417038518775056,0.025690643611948016
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,9,0.7466913072612691,0.039423292969003314
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,10,0.7510095024087965,0.057793155466172336
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,11,0.7495425322672132,0.07123890651010875
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,mean_pool,12,0.7474212030401092,0.22421071602214662
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,0,0.09784763118470263,0.034646800028821756
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,1,0.16539403637749048,0.0445878523966119
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,2,0.17624023163694205,0.04092907904913784
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,3,0.1797694895412971,0.042025277245378155
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,4,0.19544601645300919,0.04369514356836637
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,5,0.22189907256929525,0.04634293105248528
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,6,0.25597005714224613,0.04904183799836228
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,7,0.27516532086532347,0.05008414824051039
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,8,0.3013683769367349,0.05072934379293206
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,9,0.3226131839613412,0.048154920437657574
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,10,0.340505349388731,0.04400349362535911
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,11,0.3233538831685276,0.03754810284764228
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,token_aligned,12,0.3772492670429254,0.04553866308425045
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,0,0.7236895444185715,0.17344893349930804
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,1,0.726876737944791,0.16981339748465263
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,2,0.737797865589315,0.0916697787777218
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,3,0.7156339990072431,0.08358668831651411
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,4,0.7180654977572877,0.0880539692179131
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,5,0.7341261163229909,0.09553003806153838
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,6,0.7402006495382769,0.11632511178538012
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,7,0.7537749342494812,0.14197164516467106
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,8,0.7691618133345629,0.16837481904566617
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,9,0.7726135252653061,0.1898683135571447
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,10,0.7703845038237535,0.1922243986254092
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,11,0.7537371315423735,0.1765488657275148
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,bouquet,sgpt,12,0.7617213309617374,0.23173029248651766
