model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,0,0.6637649251964994,0.16359838918584083
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,1,0.7640981813120379,0.05654075710494459
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,2,0.768370263006757,0.014066129429062985
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,3,0.7708292867866426,0.012539983912109526
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,4,0.7712767056068156,0.012622888044866736
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,5,0.7749579802099473,0.012618821475988473
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,6,0.7739460742371371,0.01581824928205086
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,7,0.7757930521798152,0.021159451024829936
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,8,0.774785745720575,0.032071229262643185
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,9,0.7817239903768302,0.04587632235436755
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,10,0.7830365045721646,0.062338368652145114
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,11,0.7784017505213806,0.07873547731172213
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,mean_pool,12,0.7374779455899788,0.21969803204232716
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,0,0.07979449858525889,0.030710760563582393
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,1,0.14457620400856125,0.0416181892974008
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,2,0.1590693542673509,0.03765997700234113
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,3,0.17465019703307408,0.03908567051595454
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,4,0.2007317019849059,0.04125064449559861
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,5,0.2147702730712188,0.04337911709909874
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,6,0.24884854816321364,0.04633668581050455
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,7,0.27746833794249337,0.04748622215873453
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,8,0.3123816936480412,0.04799943969405547
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,9,0.3324106508672228,0.04498358383681172
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,10,0.33032077658936587,0.04229001085034677
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,11,0.3207911121106348,0.038084312908890104
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,token_aligned,12,0.34840604167851824,0.04235797182759748
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,0,0.6787035083600559,0.18420832957786404
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,1,0.7251386655333317,0.18732425333191127
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,2,0.7605701616261801,0.10009750401556233
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,3,0.7587892226299754,0.10077309290411832
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,4,0.7606747071269002,0.10701164422308433
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,5,0.7652707721829666,0.1046241337673276
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,6,0.7453582737323905,0.12351948074619153
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,7,0.7483019466556408,0.15240498963474156
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,8,0.7581153887377207,0.1884470285638725
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,9,0.7789721360499772,0.1990124843396069
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,10,0.7727287692450548,0.20052467464832657
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,11,0.7565029162938044,0.19059735548806203
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,bouquet,sgpt,12,0.7540815943871588,0.2301554448111587
