model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,0,0.5360270034845839,0.2005042405027331
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,1,0.6841195752199102,0.16799899570661703
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,2,0.7162186843943552,0.06383486605280535
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,3,0.7179198436237241,0.06589527872217439
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,4,0.7219132451689481,0.07684031073739171
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,5,0.723827896034176,0.09606474505316764
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,6,0.734016160938452,0.11833698500242602
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,7,0.7436090461887507,0.14348919981959132
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,8,0.7614737627409807,0.17465864130988806
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,9,0.7718792204823873,0.1968736704557974
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,10,0.7730537777794347,0.2102462733682925
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,11,0.7621730687083512,0.22119257217808902
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,12,0.7842879736458291,0.2487398195572602
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,0,0.23167160667484335,0.019419046033965624
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,1,0.26643952092736867,0.03081309451936923
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,2,0.31349149727823655,0.029223216535053477
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,3,0.3436080251799549,0.03312942806547747
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,4,0.3621695071573696,0.0384446284295475
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,5,0.37156098114961994,0.04259339022415738
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,6,0.38348198663180383,0.044737598512188066
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,7,0.3905972708729576,0.04578504432263054
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,8,0.38870303293024605,0.045473380977916526
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,9,0.37644722640692485,0.043180016980759524
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,10,0.3570021980185681,0.03898894995362605
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,11,0.3328610202277269,0.035106981232060366
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,12,0.35320492517787355,0.037576654055177273
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,0,0.5653065821012315,0.21129714238657044
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,1,0.6661166148747518,0.24052500842455152
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,2,0.69525730902283,0.18559553313773944
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,3,0.6992506058952662,0.20275458894779544
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,4,0.727686923353926,0.2219285959982001
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,5,0.7504988889848743,0.24106486144249875
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,6,0.7678248675268949,0.2526405860602711
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,7,0.7859597642958366,0.24785660138478105
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,8,0.8047820680291082,0.2413915250524803
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,9,0.809456728642934,0.2315330646448754
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,10,0.8051139712266959,0.22884396451222616
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,11,0.7934223674594405,0.2315853877047566
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,12,0.7991873783353947,0.24359928634339104
