model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,0,0.5437652003073417,0.1966924361451354
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,1,0.6725850863269229,0.16858022376930754
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,2,0.6967107246718802,0.06620053817394951
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,3,0.6983246448566762,0.0757488789239602
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,4,0.7044887880908287,0.09357542644128627
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,5,0.7090384549593801,0.11074845546033645
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,6,0.7116232934477094,0.12740755297442583
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,7,0.7200199345335925,0.14462123461025544
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,8,0.7238127555865816,0.17403850899000345
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,9,0.719203387597254,0.19486854133594483
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,10,0.7191647373245169,0.2045291462653989
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,11,0.7089555109173491,0.20729087439029859
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,12,0.7328866236960946,0.2329270334721559
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,0,0.26937587068537583,0.023794819148605036
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,1,0.2834381102599966,0.03491776001110659
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,2,0.3218644864234712,0.03254040922507687
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,3,0.340890473556147,0.03766364011694202
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,4,0.3498543586558335,0.04415941712329582
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,5,0.3544456902687017,0.04801695567563759
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,6,0.3651577209337273,0.049411189373318044
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,7,0.3709729688540706,0.04859499777553361
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,8,0.3676493057984268,0.0482832573434481
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,9,0.35090903013120106,0.04498480971264699
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,10,0.33233617291800654,0.04040085615680136
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,11,0.3112492996476087,0.036080109514084836
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,12,0.3450281551637774,0.04356714128709257
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,0,0.5579431751685727,0.197117321660665
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,1,0.6512835461596979,0.23005932358292047
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,2,0.6890970615178611,0.17773274549425916
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,3,0.6976641083502523,0.2136277504547743
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,4,0.7314686031615473,0.24036669972813898
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,5,0.7494607840189209,0.25393507302389856
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,6,0.7595520991987726,0.25796399799494507
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,7,0.7751956303342332,0.2473856797716206
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,8,0.7734502972961502,0.24848603788900603
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,9,0.7614687138024088,0.24110352505516658
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,10,0.7572512838745462,0.23580673367016047
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,11,0.748574532934462,0.2368115042736138
goldfish-models/arb_arab_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,12,0.7566382833448912,0.24734455442171993
