model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,0,0.5397570913723587,0.21601400743960178
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,1,0.6347865562350565,0.1599091280414213
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,2,0.5923803628355655,0.05145486839252208
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,3,0.5893831695890601,0.05396929386549605
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,4,0.5902469366491999,0.0640975754982679
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,5,0.5924069256723316,0.07154229316187616
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,6,0.6062617238466869,0.0814326091601941
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,7,0.6312703389192511,0.09723517765013269
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,8,0.6642447113981007,0.12943327347086447
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,9,0.6884154589306705,0.15535441363802907
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,10,0.7118422494245865,0.17523718979088457
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,11,0.7042764514947488,0.18557338483314786
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,12,0.7482364789178209,0.21942153133420467
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,0,0.07343900479963886,0.028101788460790943
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,1,0.12395419844184355,0.031672937246146726
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,2,0.13283127869536948,0.028334910845836656
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,3,0.16043246941510417,0.028788669553003902
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,4,0.19700760595289907,0.031168850472207035
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,5,0.21358155476418106,0.03277832970465447
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,6,0.2259707922638358,0.03393360194912663
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,7,0.25155648172619477,0.03307739858753401
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,8,0.2837988953883764,0.03413939989926215
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,9,0.30667001691157336,0.03158647864145071
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,10,0.32408659495668646,0.030113184374222304
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,11,0.31445557043468997,0.028618117415023455
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,12,0.33976611415973823,0.031687046884708775
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,0,0.5502109803181091,0.22067865510109488
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,1,0.6299485463861575,0.23529033292704474
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,2,0.6463569364868104,0.17995996950076343
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,3,0.6643451458202008,0.1920121337817306
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,4,0.710558221098363,0.21113570007772467
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,5,0.7329845307968372,0.22402562095084178
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,6,0.7465830526768373,0.2289007168339046
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,7,0.7600220723910619,0.22156356393028043
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,8,0.7756725890758696,0.22796637390856597
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,9,0.7644500210323977,0.21682886422301575
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,10,0.7636538242965801,0.21552052107544897
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,11,0.747620686958503,0.2174492321074292
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,12,0.766504816425694,0.23725968231882072
