model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,0,0.6459072227011701,0.20259022334672422
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,1,0.7848845665670942,0.1754913077486649
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,2,0.8040763341624284,0.06931245695946514
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,3,0.7973502024506759,0.07995922645042067
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,4,0.7967508160372455,0.09532960314287092
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,5,0.8031807002876205,0.11383981726911438
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,6,0.8126013754465211,0.14343172016408384
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,7,0.823159373059003,0.1746290683944985
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,8,0.8409022402784111,0.20130099881564562
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,9,0.848262361031403,0.20328606011527314
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,10,0.8488918719879146,0.20573826095002756
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,11,0.83079301377645,0.2056142575015455
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,12,0.8513868868520948,0.2373765974098733
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,0,0.5575137395943832,0.014283787466782489
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,1,0.5189304619896438,0.023778435235289035
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,2,0.5716845053766654,0.023155681370683183
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,3,0.5928017238395202,0.027843602421379954
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,4,0.5974331910794439,0.033345861361742446
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,5,0.6000462309018788,0.037655128936651044
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,6,0.6077533586848891,0.040202303062460316
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,7,0.6058002242719983,0.04266130791591322
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,8,0.6004936880312512,0.04308666487200629
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,9,0.59144022238385,0.04065679152148716
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,10,0.5753248381197908,0.03633478018119227
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,11,0.543792886069674,0.029881641940521945
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,12,0.5350690567768178,0.03656812380814738
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,0,0.6514463038931307,0.19936276237372685
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,1,0.7561667077664758,0.2375405094578363
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,2,0.7753076047361558,0.18444172329099745
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,3,0.7998354589658875,0.2096114804216678
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,4,0.8263794847434923,0.2337911227302822
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,5,0.8391088662433637,0.2508510048676058
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,6,0.8554998162978573,0.2542211472503251
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,7,0.8635669436361617,0.2588792278448705
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,8,0.8726575740024309,0.25333135315658234
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,9,0.8762255288837643,0.23161275744421658
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,10,0.8737622540469858,0.22367641654872236
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,11,0.8592961665012955,0.22135815138118653
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,12,0.8607684632587459,0.24400437284328141
