model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,0,0.6616016455678018,0.20584423675978752
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,1,0.7594634018557769,0.18484389849531851
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,2,0.791140022960767,0.07322956929687721
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,3,0.786111929686598,0.08144175673570003
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,4,0.7874589957911625,0.09720125356891789
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,5,0.7949351476894181,0.11198727618738431
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,6,0.8038362192948761,0.13361210790158032
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,7,0.8105158329855248,0.1552569444531572
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,8,0.8029289411357008,0.18864789883754693
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,9,0.7911775628498681,0.1950581953994442
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,10,0.783009813037293,0.1988402641087446
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,11,0.7676051015936184,0.193999459413344
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,12,0.7805236232631094,0.2261918214258816
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,0,0.39465064572493563,0.020172773151073894
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,1,0.396596341605012,0.032865645172643454
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,2,0.44138875691568674,0.031077754762209753
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,3,0.45981443035154285,0.035979372655536766
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,4,0.4648366105362495,0.04168710040021543
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,5,0.45905526316632284,0.04650704800533542
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,6,0.46455008398091147,0.048883319865591364
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,7,0.4620949418844584,0.04931332866359795
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,8,0.45203223459761893,0.050014770339140424
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,9,0.4398522694102167,0.045977763601659775
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,10,0.4226112959994154,0.039984562108840695
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,11,0.40236843707233244,0.033012264178574446
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,12,0.43065726566199847,0.042831555012389826
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,0,0.6151870571513011,0.19610547085097207
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,1,0.6861197732867499,0.24750614823578207
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,2,0.7317357769932391,0.18930269189070498
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,3,0.7543174299152186,0.20687275528176385
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,4,0.7760133991729292,0.23470149579000485
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,5,0.7869665491553828,0.2477900650453156
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,6,0.8003223743991105,0.2528850333692706
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,7,0.8159961414420703,0.252690818167802
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,8,0.8044967993329687,0.2630288080023634
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,9,0.7981001693647565,0.24710985999574253
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,10,0.7909430664459084,0.24033729942103346
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,11,0.7814221571894249,0.23562967680316416
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,12,0.7880470632609718,0.24303207539114496
