model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,0,0.6567006480292622,0.22434284808220165
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,1,0.7664520362849975,0.1766846372790652
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,2,0.770439542289251,0.058634854628854906
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,3,0.7576479170147064,0.0567025840955029
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,4,0.7577104337599776,0.06380937325007827
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,5,0.7662676213214932,0.07840950883958822
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,6,0.7812410830139214,0.1064794477794431
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,7,0.7858596899592208,0.13472280717959625
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,8,0.7916773334516181,0.1620317367319817
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,9,0.8080573013981012,0.1845937418897151
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,10,0.8192905255995783,0.1944553550773995
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,11,0.8029705945486746,0.1966019756261033
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,12,0.8241730247610832,0.23934664098946104
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,0,0.4038216297944513,0.019622306995420752
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,1,0.38774116794210123,0.03492100557319329
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,2,0.458140353277766,0.032295362432804064
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,3,0.48908612053025674,0.03519748729715436
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,4,0.5146930999662422,0.039071442255532836
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,5,0.5283342735210689,0.04437023254612224
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,6,0.5396529675193633,0.0475915914706977
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,7,0.5445430488654114,0.05008901027623189
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,8,0.5400348622946732,0.05062344750338915
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,9,0.534081786651158,0.04817140551589854
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,10,0.5232346475676865,0.04281256273960033
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,11,0.49417191545649103,0.03494987894783431
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,12,0.5109492534627702,0.043996768428724325
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,0,0.6474768748196087,0.21007896165067227
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,1,0.7261131932833128,0.24384135329130094
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,2,0.7533898168138601,0.18111218086666406
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,3,0.7544721247545272,0.17532709504682997
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,4,0.7694375201431476,0.1947180670089481
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,5,0.8006089769133828,0.21776149685075546
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,6,0.823413522497997,0.23316947754526354
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,7,0.8339501553828409,0.2485368175636339
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,8,0.8422368937712637,0.2472024614154368
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,9,0.8447415450289283,0.23749071015108167
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,10,0.8461870607117017,0.22809115847994985
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,11,0.828779928278957,0.22594733441284878
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,12,0.835049411285279,0.2456886878275038
