model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,0,0.6104957819678883,0.2022632850880323
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,1,0.7761309158659958,0.18572563449165924
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,2,0.7941488070930491,0.06983156841483869
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,3,0.7969687161936946,0.07064640583488378
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,4,0.8023810900367946,0.08115162140748998
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,5,0.8065169637632416,0.09013657904949345
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,6,0.8196235609569422,0.11674459207683091
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,7,0.8279363183916493,0.148005041571703
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,8,0.8382267922069074,0.1830624147682641
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,9,0.8459541376373038,0.18823488588901416
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,10,0.8474138371932513,0.19436644933455943
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,11,0.8321078513165514,0.1953549806773151
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,mean_pool,12,0.8396709183785537,0.22727161370450208
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,0,0.5583405580053551,0.011900333309395364
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,1,0.4855979164710917,0.02616840392454354
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,2,0.5402957503673128,0.024563679233000565
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,3,0.5626022655039461,0.027822907663396162
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,4,0.5646156251447684,0.03270130961076708
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,5,0.5591169015195719,0.037120052544790574
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,6,0.5599987512070715,0.040692301444566176
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,7,0.5618553260392801,0.04333690139518711
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,8,0.550641472435916,0.04446300484626078
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,9,0.5455053802200304,0.04190797722435858
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,10,0.5289697106787657,0.03741574371965803
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,11,0.5025439964459573,0.030948346513578803
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,token_aligned,12,0.5069829515199843,0.036741028646075834
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,0,0.6078474225212698,0.2084265802538668
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,1,0.7355860375254651,0.24790332950690053
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,2,0.768204486443245,0.1882351654973087
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,3,0.7702799421026745,0.19350971316395296
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,4,0.7907938782588751,0.2162415262264676
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,5,0.8077827054733342,0.2319890748256381
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,6,0.8313815754355298,0.24021441667492116
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,7,0.8442638208528641,0.25420739358293104
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,8,0.8558875725371917,0.2608212662258169
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,9,0.8626254748592689,0.23984727008976803
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,10,0.865714269155355,0.23357988632581747
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,11,0.8548690837635362,0.2275025925798006
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,flores,sgpt,12,0.8525605376789266,0.24199204196610669
