model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,0,0.6434359878517365,0.21695213387976495
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,1,0.7378206094443148,0.15854163408545105
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,2,0.7367559244219634,0.05950074143042507
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,3,0.7271017127718946,0.06372042290424051
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,4,0.7149126801649407,0.0629874544116004
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,5,0.7025302787693521,0.06518284351163135
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,6,0.6950909866969956,0.0772017067953625
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,7,0.7021282537062328,0.10122121252277369
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,8,0.7287775848259622,0.14159904263729423
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,9,0.761021018686238,0.16612173901922528
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,10,0.7823167996986357,0.17641868098497668
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,11,0.7818216527259753,0.17771507588225294
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,12,0.8039156025150233,0.21586849133294603
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,0,0.06554227473528229,0.01818881246812934
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,1,0.12120780691816646,0.024001016375309006
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,2,0.13762209469003872,0.02158229077127995
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,3,0.1650742265362954,0.023906822753659275
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,4,0.18460445321680138,0.026661875914950374
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,5,0.1947010625724502,0.02879217435372999
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,6,0.22065992382224733,0.030200283161660478
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,7,0.24309137853860974,0.03094074790131153
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,8,0.2782649744996562,0.031266013845793535
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,9,0.3128645193838425,0.029470744252547403
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,10,0.33336686251241787,0.02653695251719444
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,11,0.30850825568579543,0.022695777229337532
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,12,0.36617972152517686,0.026874518170503986
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,0,0.6337438030602052,0.19649226146422022
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,1,0.7022461054416322,0.2391298693914841
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,2,0.740678876686384,0.1859919084163867
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,3,0.7511506789039699,0.18782902840112795
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,4,0.7621709107651804,0.20785976607310452
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,5,0.7678975622170918,0.21291544749751762
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,6,0.7781747971270362,0.22093721039469238
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,7,0.7959898151460576,0.23452516334511264
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,8,0.8104268334787313,0.24800064547673084
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,9,0.8132090511944544,0.22956442685983375
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,10,0.8158902761703742,0.2184523268165416
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,11,0.8074878128615758,0.21123700526060243
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,12,0.8158327184220537,0.23081381568238124
