model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,0,0.6495754935117259,0.19952564738794742
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,1,0.7318272401511725,0.18103767920575925
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,2,0.7638572462209305,0.06798260656786613
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,3,0.7543559479318884,0.07282552351510266
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,4,0.7566061518367521,0.0900101173678444
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,5,0.7636157262553888,0.11305266681250004
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,6,0.770604593158296,0.13810175039120032
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,7,0.7763142642733859,0.1613617202110356
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,8,0.7740390678004956,0.19428127456196373
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,9,0.7721858548183795,0.20674914202782907
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,10,0.763267463130801,0.21746113531709813
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,11,0.7536730578346627,0.21842422342718212
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,12,0.7605544455423209,0.23864917259702859
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,0,0.41031084278777324,0.018522868406244026
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,1,0.3962965196199835,0.029945474289898348
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,2,0.44109163158961356,0.028440428259213956
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,3,0.4588613101636028,0.03290466926745195
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,4,0.460461688357444,0.03830406535692017
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,5,0.4543612749483542,0.04315000195995582
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,6,0.4595798139131195,0.04564309261133391
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,7,0.4558455789498899,0.0462255666671025
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,8,0.4456982987649459,0.046518220019958714
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,9,0.43281597215143586,0.0433015669423466
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,10,0.4120414442804283,0.03835830840061432
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,11,0.3956853992844343,0.033319487354551654
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,12,0.42052733645802703,0.04040148966105147
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,0,0.6127397121350607,0.20010243476888398
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,1,0.6858829249904079,0.23456955861407539
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,2,0.7317059544985354,0.17968293832895327
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,3,0.7311951087941662,0.20272235708463818
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,4,0.7427729791659312,0.2284874677240215
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,5,0.7583613863575559,0.24326714104060107
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,6,0.7708486405341654,0.2503297039842914
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,7,0.7841916738638098,0.24472681566355953
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,8,0.7811914604196134,0.2478833314936087
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,9,0.7843572411698756,0.2378067986240367
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,10,0.7753117375125191,0.23504717081761242
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,11,0.7686150635351595,0.23149008252369324
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,12,0.7706560961723748,0.2402204209740783
