model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,0,0.6396841673292715,0.22993713885629033
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,1,0.717470834307271,0.16345550513237658
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,2,0.6907266663040295,0.04809889415296337
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,3,0.6752910591951927,0.04340739534636704
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,4,0.6706766702104155,0.04951114462598986
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,5,0.6802334720030768,0.059469639342462896
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,6,0.6903271227875617,0.07690891356257136
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,7,0.6989416114465336,0.09456688156549636
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,8,0.7254871361538767,0.12436976062677728
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,9,0.7435488883725421,0.15415967593728874
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,10,0.7538638148594445,0.1758987882805093
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,11,0.7420412779246854,0.1832146202288297
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,12,0.7860314925888944,0.21803840589723547
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,0,0.06453367758813487,0.024256521468433125
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,1,0.1263004377874685,0.030515590789841226
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,2,0.13126338859722703,0.026823121366873284
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,3,0.13982551148257974,0.026276513599462994
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,4,0.1548769740008081,0.027705798596696623
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,5,0.18259608151857085,0.030020213173921822
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,6,0.21270477975675423,0.03147968319458744
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,7,0.2264615901609509,0.031244587905624562
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,8,0.2516060812406628,0.03281610280980365
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,9,0.2813148867166564,0.030598723925654932
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,10,0.30890874699680354,0.02948682325039643
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,11,0.2952232360966248,0.02717661445463745
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,12,0.356772147112639,0.03276964277874626
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,0,0.6212934837763273,0.24122673948672116
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,1,0.6909741737745508,0.24262896155443112
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,2,0.718543136439777,0.17911104414825682
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,3,0.7095935869088089,0.17509681932555984
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,4,0.7155811133008286,0.18727078565015423
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,5,0.7522282441714878,0.20192367572385866
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,6,0.7725547637200592,0.21207247920936872
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,7,0.7738978238513253,0.21199160457774854
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,8,0.8004499985160524,0.21452210768289928
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,9,0.7949739007753254,0.20462382336272159
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,10,0.7897462776661341,0.20292593496422287
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,11,0.7715491811067369,0.20216142602325127
goldfish-models/rus_cyrl_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,12,0.7984217792031093,0.22851871700683862
