model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,0,0.5965753926265214,0.19353129673718228
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,1,0.7458000533967549,0.17015144227650764
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,2,0.7419081185605589,0.06877389650672391
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,3,0.7354255017440718,0.07409375024013237
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,4,0.736280850726927,0.08954787585990838
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,5,0.739277408325677,0.10266464122821252
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,6,0.7556564439895174,0.1345379140758669
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,7,0.7721199522767713,0.16729625628741052
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,8,0.794833885831739,0.1942296734425143
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,9,0.815665819713726,0.19994817435194712
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,10,0.8221116524470605,0.20944697541711826
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,11,0.8165589862153357,0.2151096180093647
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,12,0.8337076534510196,0.23803787442252977
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,0,0.5748361266293555,0.010139059745188443
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,1,0.5063273193705133,0.021894393089552485
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,2,0.5517510759687352,0.020573531955456123
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,3,0.567293023074839,0.024396802267718086
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,4,0.5670782085368593,0.02958722840581948
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,5,0.5722265592888807,0.033518321771057395
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,6,0.5763642359487393,0.036813643279175495
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,7,0.576896239513418,0.03924598602592677
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,8,0.5708965196466615,0.039665301435565146
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,9,0.5683022212107756,0.037480129855262355
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,10,0.5549015789045407,0.03447044899698313
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,11,0.5348160790779596,0.029866228973018747
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,12,0.5322379864606845,0.03442204575427472
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,0,0.6018360644486335,0.19250112056427945
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,1,0.7355886949326675,0.22235894163588388
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,2,0.7659634224704679,0.16193931253491825
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,3,0.7623765497254889,0.1896555471446043
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,4,0.7849500242112425,0.21543215375043362
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,5,0.7997146645771714,0.23597289453931092
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,6,0.8188308553165019,0.2438844376378916
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,7,0.8345190866123502,0.24947954806695896
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,8,0.8459373156760881,0.24220194479568705
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,9,0.853565156504005,0.22336589647846236
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,10,0.8514401606917075,0.21906477759951223
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,11,0.8410160566152417,0.2153132971283707
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,12,0.8487036194840533,0.23230891061127024
