model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,0,0.5538043447893176,0.1924327834194845
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,1,0.6981327915306268,0.17154058881437653
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,2,0.7148189605184022,0.06810124388214012
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,3,0.7052796937523522,0.07154197462571271
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,4,0.7086924659745734,0.08782312662250646
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,5,0.7150206729592506,0.09901982725053861
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,6,0.7320441584126878,0.12524622570052416
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,7,0.7445874002552277,0.1509853692429822
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,8,0.7457107421198949,0.18442481608455463
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,9,0.7492691569331842,0.19482568074678752
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,10,0.7451130631348409,0.20512904638193727
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,11,0.7365291502840134,0.2040735170885002
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,12,0.7443702276588846,0.22602772526849071
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,0,0.32402288106929283,0.017984439844077667
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,1,0.3156719728529736,0.033410577305110524
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,2,0.3607912919582752,0.030728104990305143
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,3,0.3787481916678419,0.035012259970307213
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,4,0.3846177633510055,0.040351746161038524
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,5,0.38160197624112385,0.04420174415234248
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,6,0.38620470557120046,0.04708992818345516
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,7,0.3861573172859312,0.047143745519258894
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,8,0.3765155561186026,0.047692793769843214
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,9,0.36452399680161657,0.044003524077282176
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,10,0.3439620907232027,0.03926137164070292
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,11,0.32422527013012387,0.03437757057087683
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,12,0.3615166128292443,0.04251302815540388
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,0,0.5340065944915211,0.1873925323399237
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,1,0.6569608161228715,0.22962714847354598
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,2,0.7011505923102093,0.17021278249567148
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,3,0.6941681633745995,0.19505495470522105
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,4,0.7143000465496292,0.22106790340693214
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,5,0.7301716855060774,0.2357495580982968
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,6,0.7552283977205543,0.24452857872518596
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,7,0.7738544887313699,0.24389488469351206
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,8,0.7685539727591563,0.24960858745863365
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,9,0.7697647007480153,0.2335723979127455
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,10,0.766078176914849,0.23054873913736681
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,11,0.7617621142408839,0.224704160796649
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,12,0.7635691484708149,0.2339850935024795
