model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,0,0.5552359925855193,0.20863848337949795
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,1,0.7078215964371892,0.16849224547783068
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,2,0.6901110989486529,0.05500032701954036
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,3,0.6796089255036553,0.05192129529927655
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,4,0.6812177973365331,0.060736386920709304
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,5,0.6839254921210997,0.06472654112840799
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,6,0.6952443920659235,0.08172941326942594
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,7,0.7042221881194075,0.10414364546767196
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,8,0.7224723400634084,0.1402124179669855
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,9,0.7535014518051124,0.158144747018967
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,10,0.7657149778588666,0.17720881910309455
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,11,0.758468710426217,0.1845061981792408
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,12,0.7843332943941258,0.21158846589260655
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,0,0.04751441745728521,0.019396662128436114
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,1,0.11433749870794833,0.02705288389495728
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,2,0.1207905270343047,0.023801333843685626
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,3,0.13346964598875644,0.023799041790785912
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,4,0.153941939384,0.02546472905388475
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,5,0.16135972054254324,0.027429730773696325
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,6,0.19386330455235778,0.02931641546799601
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,7,0.21765667997925583,0.029461005054099786
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,8,0.24694530087750938,0.030664432365864882
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,9,0.2794804083957608,0.028290404148658695
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,10,0.2857892727469767,0.027228280779985223
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,11,0.28315218391484936,0.025391297122650605
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,12,0.32136110646686633,0.028391312158864472
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,0,0.5632004332128687,0.22273757770350436
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,1,0.6771797369385266,0.23975597548990243
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,2,0.7077937918268388,0.18027862100427297
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,3,0.7003922561425512,0.18195845148290707
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,4,0.7216080510997658,0.19740202603493476
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,5,0.7376300762331675,0.2087311547293381
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,6,0.7679006205103449,0.2172037391397212
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,7,0.7750630318920306,0.2178307272266213
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,8,0.7902774588161348,0.22523156700750732
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,9,0.8014180707526363,0.2074571641841157
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,10,0.7985367818217894,0.2081075881200079
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,11,0.7894374673081557,0.20555709940136652
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,12,0.8033858821821571,0.22064021040086554
