model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,0,0.5724708973686028,0.20365536401737916
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,1,0.7097626429092391,0.16969269110042745
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,2,0.6962200145357742,0.05890762054216802
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,3,0.6908328274503995,0.05306736379489983
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,4,0.6936024901372558,0.06105981743567543
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,5,0.705609314042285,0.07412442241185681
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,6,0.7262618052482416,0.10381754542863673
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,7,0.7369283077013279,0.1335136948398449
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,8,0.7509432278206838,0.15959954793276365
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,9,0.7764232191864243,0.18500326847696685
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,10,0.7899135015706688,0.20093400524646704
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,11,0.7778047585153219,0.20621603407679875
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,12,0.80311831825764,0.2404463190215761
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,0,0.33385785916357824,0.015728228380346196
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,1,0.3311593811456672,0.033686462650841166
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,2,0.38975817303596244,0.030584917417675845
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,3,0.4171989797204015,0.032725371725633896
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,4,0.43813315746808645,0.036581861136796484
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,5,0.44989289594461124,0.04106185795443667
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,6,0.45609346492909936,0.044993846696181346
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,7,0.46250077274581125,0.04707539140777232
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,8,0.45958981284453077,0.047791235933224985
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,9,0.4528715510998238,0.04576944718045169
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,10,0.4365137440425695,0.0418701178102667
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,11,0.4054233201611704,0.03635816221560593
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,12,0.4323068095358089,0.04344981126533055
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,0,0.5658833955395931,0.21097110248261491
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,1,0.6922090425966113,0.24245896028770983
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,2,0.7211719518731455,0.16584820305170594
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,3,0.7172837803422366,0.16766823205929637
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,4,0.7291744940222588,0.19044828966318467
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,5,0.7549368938594934,0.21421473555760728
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,6,0.7883855965145308,0.23060956803815522
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,7,0.8043287003249772,0.24367775093651925
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,8,0.8185933615319941,0.23617465605834137
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,9,0.8252143955012768,0.2237523723210001
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,10,0.8229297267732018,0.2191094056426674
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,11,0.807968273309653,0.21585736332120556
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,12,0.8188042272123589,0.2332798757139648
