model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,0,0.6235346460069372,0.19468813129291795
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,1,0.6840207354687718,0.15637887472933537
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,2,0.6874419014363387,0.06399782103138091
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,3,0.6820757817240762,0.06804440567709187
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,4,0.6635149584136855,0.07078095251193206
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,5,0.6559459381255436,0.07152637569736607
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,6,0.6493356022146096,0.07964207901873789
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,7,0.6705435658502865,0.09859683131530382
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,8,0.6950348755093356,0.14071706372895573
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,9,0.7203049331126523,0.17024500861200334
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,10,0.7320207852095068,0.18610996875562036
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,11,0.7341985155438248,0.18851095740117726
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,mean_pool,12,0.7587884948052682,0.21863947275623355
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,0,0.06679667843748362,0.017819816064068024
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,1,0.12329538525996254,0.02363155525716513
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,2,0.14192482040464127,0.020932217449657658
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,3,0.16256803972326517,0.02411761228419029
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,4,0.1839076039663262,0.02744439669788785
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,5,0.19643440281926727,0.02932368970753129
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,6,0.2089992002556129,0.030564674739430548
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,7,0.23116577936744573,0.030274249578634022
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,8,0.25169210236087936,0.030370344570625256
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,9,0.26828406403010213,0.02777588041933398
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,10,0.28445060113938186,0.024808650771913295
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,11,0.28883597912327896,0.02207455440510492
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,token_aligned,12,0.3715759179286699,0.027388435226023834
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,0,0.6038776456952824,0.20024805677269686
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,1,0.6603378250905689,0.22443864842764144
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,2,0.6837750109149059,0.17696107641327827
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,3,0.7019309955296215,0.20168965372482045
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,4,0.7270081271825657,0.22198454174717724
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,5,0.7345310002552111,0.23019942063183993
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,6,0.7431538784289639,0.23853758503977968
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,7,0.7677808194318941,0.23684472696315784
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,8,0.7672460073776274,0.249496607510326
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,9,0.7624081675446431,0.23430232960269676
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,10,0.7602665279512586,0.22581952489204823
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,11,0.7558578112682817,0.2147127854884208
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,flores,sgpt,12,0.7692785687414113,0.22577469553916088
