model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,0,0.7199951155895891,0.21705420587570348
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,1,0.7606508817795965,0.15142597502226765
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,2,0.758863602682196,0.0524917352708692
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,3,0.762497229080166,0.05154020331008184
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,4,0.7591759890164292,0.05139894113402694
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,5,0.7583040341717994,0.05080211658420294
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,6,0.7607719753374564,0.056217590284258726
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,7,0.7678286887229968,0.07162337566203969
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,8,0.7834971425630234,0.11007904026367024
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,9,0.7994422600306708,0.13788437729385844
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,10,0.8031325676282484,0.15811228340193453
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,11,0.7970948008835845,0.16744804030811705
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,mean_pool,12,0.8244061196514898,0.20344285433870074
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,0,0.20875812228662283,0.08224348024704421
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,1,0.2261346609750213,0.08258756260501438
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,2,0.2431373720346563,0.07107310544971443
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,3,0.2833196026753102,0.07392434779642162
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,4,0.29748817602483485,0.07754622655648116
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,5,0.29081493668406155,0.07911002993420783
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,6,0.2904368357679084,0.08024832699042259
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,7,0.31492738226240885,0.08003896686291853
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,8,0.32148644570461654,0.07808116329000742
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,9,0.3632631409834968,0.07998332462884507
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,10,0.3885308881688598,0.08087012924664554
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,11,0.409637176456433,0.08090087968100791
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,token_aligned,12,0.4295763450259167,0.09708878286817552
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,0,0.6994115307054366,0.21948427349299912
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,1,0.7342701359620951,0.22430060281280037
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,2,0.7647305864200242,0.17325303063816838
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,3,0.782438426935963,0.17058157236651722
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,4,0.8006662763113719,0.18077072763970853
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,5,0.7986219044125001,0.18720860130162476
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,6,0.802192639493593,0.1959566645048894
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,7,0.8114188258407102,0.19567050960947727
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,8,0.8228356335939815,0.21294870836622964
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,9,0.8246571321881392,0.19708249714494952
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,10,0.8197768767914155,0.194812388534524
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,11,0.8099990506295388,0.18964151918769886
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,flores,sgpt,12,0.8299082126572996,0.20845279423303578
