model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,0,0.4979269818669328,0.08839639798134381
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,1,0.5151178991956631,0.02055156901642391
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,2,0.5101192404255559,0.0052655714528459865
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,3,0.510498298012402,0.005089820499305327
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,4,0.5085458879933117,0.005907440232311075
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,5,0.508667489475261,0.006721884319843233
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,6,0.5113318482142322,0.00780722740181702
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,7,0.5121499399529361,0.00936157950524022
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,8,0.5156349993754844,0.012185659145202388
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,9,0.5192768007004473,0.015981367443937366
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,10,0.5244423504772674,0.02121006842998165
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,11,0.5268449669117633,0.025649405711513255
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,12,0.5274430983849006,0.21861430803967233
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,0,0.22744511265054954,0.06149907146579636
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,1,0.28611178211078525,0.07772025534238847
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,2,0.333083509563657,0.07343449617511863
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,3,0.3680050869411678,0.07868138865528893
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,4,0.3905904643542885,0.08543828280065528
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,5,0.4012123206471317,0.09156805854282213
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,6,0.4065924126723487,0.0965920645116485
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,7,0.41080696612097284,0.09940254564113234
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,8,0.4068837423613145,0.1001268930548834
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,9,0.3967270153713356,0.09501121670650672
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,10,0.38527174900962835,0.08513409332589822
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,11,0.3712994147148742,0.07502051849516117
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,12,0.4083411782919847,0.08558421714975155
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,0,0.5001620103096819,0.13485996548020412
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,1,0.5128168552045277,0.08750682597616903
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,2,0.4953254974779156,0.03463802722324077
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,3,0.49504831443566244,0.03561074776425193
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,4,0.49133771332873816,0.03902190990208132
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,5,0.4931223251580458,0.047775423475583924
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,6,0.49991243023584797,0.056331294057981984
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,7,0.5055825493441737,0.06681777244380711
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,8,0.5132484171961214,0.07992600910925886
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,9,0.5169740212890375,0.09972162046203994
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,10,0.5168396585264744,0.11130869196788575
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,11,0.5095841692975036,0.11288930791799498
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,12,0.5330252222798528,0.2292011103972127
