model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,0,0.7630974202239706,0.05749305012506621
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,1,0.689475823298921,0.01974956069952612
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,2,0.6727360725972036,0.012452034688890067
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,3,0.6666889999825267,0.01255897827930223
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,4,0.6623756128997331,0.013286975653085956
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,5,0.6627691010160729,0.013708033810722206
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,6,0.6660052194989313,0.014727072520465994
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,7,0.6712402183985724,0.016255131918285877
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,8,0.6806275024551235,0.018515649875095883
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,9,0.6924582148410282,0.022141170596038307
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,10,0.7126032820039219,0.02555077201213589
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,11,0.7331274707862974,0.028098347211014108
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,12,0.8423299141605894,0.11721151216292688
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,0,0.201394463983343,0.022541855898102026
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,1,0.3067012088020452,0.033481171387380826
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,2,0.3944257062084035,0.03053769962513194
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,3,0.4249847567354339,0.03627334872596183
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,4,0.44574333549748785,0.04417274667704865
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,5,0.4491215363692687,0.0493582464637384
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,6,0.45886094336284844,0.05182438173259253
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,7,0.4701372179827858,0.05270108453537032
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,8,0.46548606861423386,0.05218504489740006
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,9,0.4638514314968022,0.049157940102290985
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,10,0.46195740836507987,0.04412879560065582
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,11,0.4488499951380795,0.037965217164211855
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,12,0.45661013973353753,0.041136859401993076
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,0,0.8094059910309687,0.09289890509302003
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,1,0.7504280143971411,0.06706839855359294
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,2,0.6893785441463556,0.03968229029157951
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,3,0.6487111871716748,0.04160567494372253
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,4,0.6326730427177342,0.044473215343196155
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,5,0.6333698833471072,0.05015744062836464
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,6,0.6481744293586955,0.05683238671276535
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,7,0.670667094314834,0.06845493485795523
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,8,0.6979140055333148,0.07754633254202117
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,9,0.7328538017384059,0.08768226277690465
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,10,0.7775175214459417,0.08987318715916565
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,11,0.8007579004088359,0.08666439512679766
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,12,0.8608466180339381,0.13154437367939048
