model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,0,0.8434166180326709,0.06114832208945121
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,1,0.8498979404139401,0.01642533714581064
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,2,0.8458731220181194,0.004385213218669579
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,3,0.8447733654361683,0.003841940341160841
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,4,0.8461873838007565,0.004372358043784198
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,5,0.8472770022161094,0.005074604105751087
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,6,0.8500629583040558,0.006289395723704843
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,7,0.8518693256188752,0.007461502199986478
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,8,0.8551878670051106,0.009245752229915999
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,9,0.8593502890435842,0.012743150115521058
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,10,0.8647524179851441,0.01704187626694479
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,11,0.866272216777314,0.01992794834376215
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,12,0.8499441498608088,0.11139683581121296
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,0,0.2671357915017467,0.021672640424722386
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,1,0.36898304362470696,0.0353927061157997
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,2,0.4719388417229766,0.02994283304457109
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,3,0.48403430027171124,0.03254566442878336
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,4,0.48743512636505476,0.03727875651685521
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,5,0.48924725325285906,0.04294469732658725
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,6,0.49830961105524124,0.04611741323395728
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,7,0.5052180320188352,0.04682232876605471
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,8,0.5009409876440037,0.04675797263369658
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,9,0.48915103409328786,0.044829385806056325
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,10,0.48432905500870554,0.039747403662046994
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,11,0.46968574207590796,0.033490068802034825
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,12,0.501232030252176,0.036727289892098176
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,0,0.8406043741432041,0.06758169371745089
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,1,0.8554142797364487,0.05883679033630742
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,2,0.8584987880589597,0.026963382123730013
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,3,0.8447063920663942,0.02832813131768652
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,4,0.838825258567869,0.03364947519176081
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,5,0.8390563991412981,0.041609955239617843
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,6,0.8479331128140214,0.05285507997384821
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,7,0.852462746010844,0.060214220699693816
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,8,0.8602741248355431,0.06792181442958575
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,9,0.8618898164129806,0.07855404330462178
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,10,0.8652130325971469,0.07744351253142145
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,11,0.8575062712779499,0.06871931780486984
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,12,0.8613576213177716,0.1257818684140993
