model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,0,0.6188866790987895,0.11629584478652748
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,1,0.6472303849840698,0.020651187465753975
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,2,0.6347882751910007,0.006324605994358889
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,3,0.6352334529576358,0.006800452172078088
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,4,0.6341715588904213,0.008122995386988088
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,5,0.6321847515885917,0.00961782990437962
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,6,0.6329756446090038,0.011365035564360054
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,7,0.6358273800641445,0.014064959349269017
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,8,0.6386165809526434,0.018291690495314292
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,9,0.6460585928240657,0.024499600124014028
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,10,0.6499262380429626,0.031044013485136288
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,11,0.6550005694439679,0.033542323631352185
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,12,0.6950607875761795,0.19511867207250697
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,0,0.2443909725443158,0.04713987562680066
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,1,0.33855437302354774,0.06810514759059665
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,2,0.41211029359220797,0.06286766379808688
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,3,0.4544072079529576,0.0682478126622939
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,4,0.4749987797199834,0.07643480693837376
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,5,0.48243047001719336,0.08383586617361902
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,6,0.49329186174228024,0.08821099728543975
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,7,0.5039523560526344,0.09022573011306725
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,8,0.508352144735875,0.09150000213939635
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,9,0.5080312128766084,0.08518664765335505
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,10,0.5103562485472855,0.07297885368439305
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,11,0.47980820503282995,0.0608260293278396
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,12,0.527683024866148,0.06702938108320645
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,0,0.670185893534463,0.12066989705564922
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,1,0.6658463769797042,0.10076574106067619
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,2,0.6356232723755659,0.0428029100384923
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,3,0.6225601769164347,0.0467652052664504
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,4,0.6143424913057266,0.055824762958259166
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,5,0.6128081123144181,0.06779725200821732
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,6,0.6206132219828792,0.07942942177363493
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,7,0.6364857390804328,0.09441732369117502
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,8,0.6474999246862312,0.11209664699103776
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,9,0.6633219603919279,0.12979919618701527
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,10,0.6705122179455899,0.12795632515724914
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,11,0.6687770322933596,0.11247817578898718
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,12,0.7109467891900745,0.201675700866923
