model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,0,0.7370828385773279,0.08982738361680295
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,1,0.7365928947591125,0.02951905190744738
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,2,0.7232493263586243,0.01182425457090096
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,3,0.7221987212382012,0.012318713239655055
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,4,0.7219438796848439,0.012998742239356023
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,5,0.7238055225842402,0.014464337949606759
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,6,0.7261286241512175,0.016637688076728784
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,7,0.729824483655356,0.0196297285949714
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,8,0.7373542287610779,0.025118879475620408
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,9,0.7439691279047383,0.03103398025957233
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,10,0.7534026819181353,0.03790197469487662
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,11,0.7590599892376576,0.041912950411544754
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,12,0.7942239794046669,0.1824299155660273
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,0,0.503677749268946,0.026899673572189937
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,1,0.4779559174853551,0.04537368668763303
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,2,0.5424632046008304,0.04311627852360939
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,3,0.56967381762603,0.0485629021273899
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,4,0.5780395477075451,0.05597196851963446
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,5,0.5746570122558265,0.06387677730606188
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,6,0.578181391121505,0.06946636204455721
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,7,0.5789684105400991,0.07448219776060519
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,8,0.5758401142185258,0.07600507297930217
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,9,0.5751143809218325,0.07113812924369634
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,10,0.5673706347302501,0.06064578511606131
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,11,0.5435291276210195,0.04864529273933992
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,12,0.5758712856294798,0.05735306254183823
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,0,0.7532728215369451,0.0961309535080204
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,1,0.7603613342257245,0.10660638898116422
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,2,0.7287656813356316,0.059718707522949506
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,3,0.7203329743334342,0.05671698354829996
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,4,0.71849371951452,0.06214876391647706
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,5,0.7260555205151443,0.07418313019591084
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,6,0.7385911725744604,0.09164301375186293
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,7,0.756511159942872,0.11013623488491045
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,8,0.7747143991142909,0.13349890449956214
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,9,0.7833189360273238,0.14523523862201995
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,10,0.7854768787665418,0.14087635073886765
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,11,0.7790367321884236,0.12472506394362651
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,12,0.8074052645484462,0.19309656840133554
