model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,0,0.7724597159143806,0.07364717957361812
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,1,0.7882110921945756,0.02769228390638859
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,2,0.7593727204720503,0.00992714128791611
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,3,0.7578624185347206,0.00983812890587269
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,4,0.7527578082073055,0.01076479367263033
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,5,0.7544875019427078,0.0122108461457246
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,6,0.7593280983182461,0.014310235466721754
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,7,0.7629966171085538,0.01854124496802303
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,8,0.768726939585721,0.02426208787752445
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,9,0.77932171653141,0.030265394658967645
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,10,0.7872928407884259,0.03608558840589707
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,11,0.7948496797678473,0.036561068459984275
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,12,0.83371664612802,0.1569927566905508
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,0,0.556923424387416,0.01810173636599442
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,1,0.5233863289369596,0.030955668509625504
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,2,0.5849206334175787,0.028302190218462937
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,3,0.6023831269116577,0.03360797267267351
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,4,0.5972427124380967,0.04132628121971232
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,5,0.5919832740982311,0.047776403890558386
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,6,0.5935553501087149,0.05147329738072809
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,7,0.5885081577296899,0.05489072573103343
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,8,0.5812921322832925,0.0552815277658642
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,9,0.5784774697702456,0.0510761894128832
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,10,0.5734182578330129,0.04381701524560271
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,11,0.5565447434019737,0.034021618956065466
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,12,0.5659450809158146,0.040663959284872576
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,0,0.808753822799269,0.07993213188021948
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,1,0.8185889996099452,0.08076864246478523
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,2,0.7838897117390419,0.04181503385155148
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,3,0.7621795786587919,0.04962755594461247
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,4,0.7456963414108913,0.05916711274147562
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,5,0.7518490239890413,0.07140384229120081
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,6,0.7693764759891902,0.08680624031575875
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,7,0.7845672572730563,0.11074431167952185
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,8,0.797432307866845,0.12521090688749534
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,9,0.8131012710790284,0.11911629559544136
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,10,0.8210933579305946,0.10164883741699204
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,11,0.8220113515363445,0.07939840870845548
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,12,0.8513747069358549,0.1489900250033027
