model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,0,0.26522380688366803,0.04536760858471907
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,1,0.224292841862072,0.011545930508652104
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,2,0.21805813646748468,0.0029704047451131707
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,3,0.2196365982010431,0.0028519231357984885
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,4,0.21918854998124127,0.0031363784416190447
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,5,0.21898743002487112,0.003583674259453182
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,6,0.22014575585993149,0.004244128851660125
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,7,0.22046906799474533,0.005171874483075928
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,8,0.22304511243403824,0.006898101601125187
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,9,0.22430963653970762,0.008946947720848197
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,10,0.22726208459798158,0.011475533679380787
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,11,0.22400293520396602,0.013023951042048702
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,mean_pool,12,0.3428995893051272,0.08650594470746079
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,0,0.2765901437929905,0.045908331398755296
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,1,0.32317162440472047,0.06120505130633479
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,2,0.3762002901005861,0.05514949903228884
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,3,0.39091835058109714,0.0643804067046079
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,4,0.3958368956027756,0.0752534764026173
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,5,0.3946700468884649,0.08335078116299292
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,6,0.39879889752409187,0.08745907906463264
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,7,0.404122883027528,0.08619826589302933
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,8,0.4049506156810286,0.08341908785777341
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,9,0.4027467559749912,0.06970293244140878
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,10,0.39619121531986246,0.05205472116887743
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,11,0.37805485882722656,0.03812640938030877
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,token_aligned,12,0.41080724363786525,0.041372809090335305
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,0,0.2746824004014669,0.07786038699825804
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,1,0.24901622808461507,0.05805934961399973
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,2,0.22545189792247608,0.026270346846103347
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,3,0.2301279622980527,0.02467291878886561
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,4,0.23181167135818131,0.026709416780931777
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,5,0.23466316174703536,0.030176037213134273
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,6,0.23984346987231547,0.033517252000768286
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,7,0.24309327985755633,0.03738681863248217
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,8,0.25463448854731685,0.04540055487620018
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,9,0.2604279360434089,0.05146292841759244
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,10,0.264898858571461,0.05482679239989316
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,11,0.25254253058599924,0.0532490313151291
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,opus,sgpt,12,0.3398439704670362,0.09683806161250585
