model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,0,0.5104318617355273,0.14088734577867595
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,1,0.5390919367975304,0.03419813135759206
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,2,0.5254844174504423,0.009267801696695416
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,3,0.5225984746219036,0.008658095721569182
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,4,0.5232983336394472,0.009410222630520203
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,5,0.5246789826829249,0.01059397509397773
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,6,0.5271727617538577,0.012271276938685398
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,7,0.5319681281812609,0.015025246775052018
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,8,0.5331258598516213,0.020128577983951554
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,9,0.537355579488715,0.0260585631309574
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,10,0.5351708135976745,0.033469702749459304
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,11,0.531571784968735,0.039868940617401
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,mean_pool,12,0.5339353555709078,0.2674189275535871
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,0,0.14243999481056283,0.06677684422241947
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,1,0.18597896270556977,0.0880590519980593
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,2,0.2002259510446083,0.08048282618878821
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,3,0.22355078516084836,0.08474145615741688
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,4,0.24180994084109694,0.08878625335537153
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,5,0.25018572568769937,0.09235210253610708
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,6,0.26173746946392457,0.09562158508323933
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,7,0.2645084896059161,0.09661796482980486
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,8,0.2718201023659324,0.09867475052697436
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,9,0.24981861013686335,0.08591021913223916
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,10,0.22224582350468006,0.07333699787437394
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,11,0.1826248583138538,0.05706396285140302
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,token_aligned,12,0.2693188476363678,0.09329082589734329
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,0,0.5384438472236414,0.15962995762118426
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,1,0.5439652744451864,0.12399265176865035
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,2,0.5231265138501034,0.03439271130725026
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,3,0.5165790492002824,0.03617415725421144
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,4,0.5206519877673857,0.044959675124721314
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,5,0.5257891590179814,0.052052579172726585
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,6,0.5287039489728454,0.0626664077043293
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,7,0.5361812599286163,0.07806792345428915
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,8,0.5377705430162245,0.10442442469486304
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,9,0.5424502036450946,0.12528547779413463
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,10,0.5354701611251195,0.14021572053548137
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,11,0.5134278768059788,0.14031301139220204
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,opus,sgpt,12,0.5431370132987957,0.2714895501465902
