model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,0,0.7200943196143176,0.08754488057469353
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,1,0.735037516570681,0.0313643700813898
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,2,0.6976188462920402,0.015167644313321064
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,3,0.6964740796964363,0.013924186461999175
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,4,0.6965943935322914,0.014443360488347524
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,5,0.7001136076344038,0.015566842128103706
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,6,0.7041449504513074,0.01782067944336203
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,7,0.7096949335179501,0.020058553378237993
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,8,0.7169722936678314,0.024159725331722226
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,9,0.727468025770963,0.029720725482255003
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,10,0.7433698547662063,0.03616492933777794
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,11,0.7566890170779506,0.03835232904387382
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,12,0.8038673184950673,0.15557516127393362
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,0,0.3978906704666981,0.02839155146199103
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,1,0.4030291567532269,0.049929132272284606
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,2,0.4928531117808743,0.04489666938223906
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,3,0.5265110973253481,0.048927233487681195
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,4,0.5440941568179516,0.05524505764472647
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,5,0.5484004019115949,0.06371893708895343
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,6,0.553393885731936,0.06941928122620161
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,7,0.5595744354445162,0.07317037288018256
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,8,0.554267361865012,0.07363516645102595
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,9,0.5543866368684813,0.06855952395806802
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,10,0.5521866128295742,0.05728865323329656
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,11,0.5294531355173988,0.044038147309253775
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,12,0.5584199974396172,0.054561520495233176
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,0,0.7427192695597572,0.09153314838563714
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,1,0.7683062140883047,0.08771756618762194
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,2,0.7153692964310183,0.03920640956662382
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,3,0.6993260229770687,0.038308676257916
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,4,0.690318389091509,0.04454459699887733
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,5,0.6997441995582946,0.05516401429449396
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,6,0.7195394102303321,0.07555296651191996
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,7,0.7380419733647521,0.09187623308923709
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,8,0.7586739894433282,0.108119509046003
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,9,0.776247497904536,0.11582291971917148
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,10,0.7954876140730197,0.10840490723427475
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,11,0.7975824849238278,0.08844558534783799
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,12,0.8240046421541474,0.15403103061503814
