model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,0,0.7650067311827129,0.08354898017019967
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,1,0.7892065381600061,0.02116926527024831
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,2,0.7528199737162989,0.005851402339516898
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,3,0.7514966770351671,0.0057927813482765295
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,4,0.7506401315904049,0.006900530718140325
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,5,0.7538975220053125,0.00753118841424374
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,6,0.7553627838255548,0.009554493276794227
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,7,0.7598463306599663,0.01216481024586215
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,8,0.7642494649887194,0.016763334791543318
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,9,0.7697776594637852,0.02142010152576444
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,10,0.7797526407716264,0.026457564388470273
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,11,0.7941343255542953,0.029965863078681484
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,mean_pool,12,0.8142868354947533,0.16526530571669634
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,0,0.570925489734793,0.02216787418169941
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,1,0.5240528775150175,0.045315972872953414
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,2,0.5940753196016652,0.041692987230729846
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,3,0.6195686814288512,0.04612726582253989
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,4,0.6179706318453692,0.05373977623099432
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,5,0.607684815891245,0.06114868652796686
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,6,0.6036810674498241,0.06744827982268194
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,7,0.6018276643099372,0.07236111344680653
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,8,0.594161462059614,0.07410205494329038
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,9,0.5925697888474037,0.06826007036147631
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,10,0.5866032081884515,0.05772666957325421
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,11,0.5692358352794504,0.04539907548679606
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,token_aligned,12,0.5857254788037356,0.052508949626055484
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,0,0.7978045135238707,0.08400090075669042
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,1,0.7991471877339672,0.08384683318736717
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,2,0.7330853001714743,0.041984416760988054
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,3,0.7208956352840382,0.04289361806391195
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,4,0.7142133203595885,0.047473371873850506
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,5,0.7225643482582151,0.05318173157808099
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,6,0.7330417607292388,0.07124310899449665
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,7,0.750241778529585,0.08944883195458092
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,8,0.7643782470150084,0.1124331593106366
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,9,0.778421480774209,0.11451567732455559
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,10,0.7977295037601448,0.10627358224490246
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,11,0.8094689988986522,0.09215611032221689
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,opus,sgpt,12,0.8309818885450803,0.1629352976693753
