model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,0,0.8268756953655648,0.06483281502856383
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,1,0.7478009877172708,0.02108171277495602
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,2,0.6915601001625588,0.008252616084299912
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,3,0.6900753323010189,0.008662382170386897
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,4,0.6873656034271244,0.008460353520107143
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,5,0.6896757527246388,0.008391515547713873
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,6,0.6990675183437056,0.00951260653270462
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,7,0.7081924839334738,0.012175714761277543
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,8,0.7234462875505681,0.016914500208688284
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,9,0.7469016720705893,0.021209808862940518
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,10,0.7756121745415723,0.026151276774712896
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,11,0.7922684237336151,0.028660376984567037
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,mean_pool,12,0.8347314978447078,0.09429671769309664
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,0,0.08887965624324734,0.011431499766122259
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,1,0.1726869912475743,0.01447093356443852
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,2,0.245979895167119,0.011256656650331919
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,3,0.2646995205468944,0.013247356584811866
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,4,0.258032737850355,0.016447032437984628
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,5,0.25350721503662965,0.018377027683813437
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,6,0.2587285010132399,0.019561515463728085
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,7,0.2653564787813564,0.02115009525870867
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,8,0.2819388751901935,0.02221256015273947
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,9,0.3065392884051671,0.020495526554137285
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,10,0.33839022646739275,0.017468417414935527
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,11,0.3346003528057083,0.014587525799901366
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,token_aligned,12,0.3766219796329866,0.01598991173671956
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,0,0.8298526874668812,0.10713871635830266
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,1,0.8137507095920077,0.10772408748363446
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,2,0.7867774153198932,0.0753342841735939
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,3,0.7727098773967372,0.08097207454372896
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,4,0.7495029862707964,0.08134183660107669
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,5,0.7465223877963617,0.08203069959999146
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,6,0.763128736626257,0.0903766415574545
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,7,0.7819264151613442,0.10530314696156279
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,8,0.8084969676158962,0.12862479924079834
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,9,0.8308751987441478,0.1326037044144525
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,10,0.8428305195181474,0.12854899781540866
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,11,0.8360045796608035,0.12066903146195475
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,opus,sgpt,12,0.851706363361264,0.14281917393581334
