model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,0,0.779298536859021,0.0717577233198609
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,1,0.7709010427990859,0.028101243355140703
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,2,0.7533270236195314,0.008591812539366006
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,3,0.7496230095036184,0.008450711821516936
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,4,0.7511562626348993,0.009799775015781267
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,5,0.7502858363151859,0.01122091831544814
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,6,0.751980366803874,0.013418889527767288
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,7,0.7566210776636464,0.01838838776863041
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,8,0.7618453194498381,0.02449130086191081
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,9,0.7651409412453878,0.031878123022659195
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,10,0.7771938305456484,0.039993028559937256
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,11,0.7831392246623226,0.04703431943611883
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,12,0.8087821821090923,0.14675801612924294
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,0,0.46721580771308513,0.021620705087687656
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,1,0.45722342713691466,0.03464991884132731
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,2,0.517749447621467,0.03283532864284858
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,3,0.5404936154852076,0.03890236235873004
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,4,0.5402291102128073,0.04634286579089398
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,5,0.5365262066129267,0.05287176036828819
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,6,0.5403850046454338,0.056436440014230586
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,7,0.5342583361825226,0.05964963122234489
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,8,0.5270767585642049,0.05912470557675918
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,9,0.5226407567238562,0.05418183336658169
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,10,0.5095732305102176,0.04714251065204566
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,11,0.4903360044298973,0.03804109757272036
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,12,0.5131841176440075,0.04438619772283543
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,0,0.792279399868787,0.07267415450783778
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,1,0.7894567697011893,0.07510929332529281
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,2,0.7530788087071405,0.03813876853263545
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,3,0.734477156157227,0.04348490710752505
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,4,0.731096504238735,0.05267339877870292
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,5,0.7346844051981939,0.06527514644704797
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,6,0.74786379190639,0.07938760652898913
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,7,0.7602828149671604,0.10039540473549703
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,8,0.7768174087914033,0.11529819126931631
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,9,0.791951570257221,0.11615085332642505
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,10,0.8056537356039738,0.10441685092768332
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,11,0.8041308298172065,0.08797460188291616
goldfish-models/fra_latn_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,12,0.8178642221320503,0.1342886912640486
