model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,0,0.7570715922389046,0.05029959478590679
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,1,0.7548535130983067,0.01571254914700172
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,2,0.7299887561274472,0.003561608536649242
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,3,0.7252756277028655,0.00337610381440993
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,4,0.7266226194561726,0.004094799362040286
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,5,0.7264900532198264,0.005181712574813964
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,6,0.7280141924464348,0.007321732118149634
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,7,0.7323252385757728,0.009928437729338485
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,8,0.7389290813879438,0.013057038889763464
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,9,0.7526473624967541,0.018529242670344385
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,10,0.7680679023902756,0.024980005141966386
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,11,0.778577878537208,0.02959042610820863
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,12,0.8379222402936435,0.11851927035055478
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,0,0.36309070829046675,0.021754282267378168
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,1,0.39046917162936656,0.034523626832613556
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,2,0.4891062658085907,0.03134212163185068
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,3,0.5069133415061513,0.03574343352835624
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,4,0.5117237977547195,0.04176910346896995
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,5,0.5161234343577655,0.04787018041232821
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,6,0.5206208376289931,0.05133742532895771
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,7,0.5225795337407387,0.05343119883682634
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,8,0.5172336221215079,0.05288176846183235
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,9,0.5106684441183356,0.049321235624137705
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,10,0.5002713912326108,0.04294100772569142
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,11,0.48207721296438816,0.03459532289107401
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,12,0.5020241642476642,0.04224946608904636
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,0,0.7687481842125312,0.06862212968228228
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,1,0.8032615039928671,0.07159411201798682
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,2,0.7812982471250948,0.04425458198806904
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,3,0.7515018978645008,0.049508797643772945
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,4,0.7451000078942067,0.05817912484301425
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,5,0.7452189377924504,0.06840421281491887
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,6,0.7595887145571434,0.08264942653044932
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,7,0.7677675410009696,0.09514935998800501
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,8,0.7904250801829562,0.10157254076395714
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,9,0.8188970969741459,0.0964623588090219
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,10,0.8393246525301852,0.08706056248447772
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,11,0.8365243212390411,0.07072761259850148
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,12,0.854997235995494,0.11093518931350861
